variable,scenario,period,stat,granularity,n_districts,country_value_raw,country_value_conv,description
r20mm,historical,1995-2014,mean,district,22,0.96,0.96,
r20mm,historical,1995-2014,p10,district,22,0.12,0.12,
r20mm,historical,1995-2014,p90,district,22,2.28,2.28,
r20mm,ssp245,2040-2059,mean,district,22,1.16,1.16,
r20mm,ssp245,2040-2059,p10,district,22,0.18,0.18,
r20mm,ssp245,2040-2059,p90,district,22,2.73,2.73,
r20mm,ssp585,2040-2059,mean,district,22,1.18,1.18,
r20mm,ssp585,2040-2059,p10,district,22,0.18,0.18,
r20mm,ssp585,2040-2059,p90,district,22,3.04,3.04,
r20mm,ssp245,2080-2099,mean,district,22,1.29,1.29,
r20mm,ssp245,2080-2099,p10,district,22,0.23,0.23,
r20mm,ssp245,2080-2099,p90,district,22,3.22,3.22,
r20mm,ssp585,2080-2099,mean,district,22,1.46,1.46,
r20mm,ssp585,2080-2099,p10,district,22,0.19,0.19,
r20mm,ssp585,2080-2099,p90,district,22,3.74,3.74,
cdd,historical,1995-2014,mean,district,22,20.11,20.11,Annual max consecutive dry days (drought intensity)
cdd,historical,1995-2014,p10,district,22,16.38,16.38,Annual max consecutive dry days (drought intensity)
cdd,historical,1995-2014,p90,district,22,22.49,22.49,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2040-2059,mean,district,22,20.24,20.24,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2040-2059,p10,district,22,16.75,16.75,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2040-2059,p90,district,22,23.94,23.94,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2040-2059,mean,district,22,20.96,20.96,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2040-2059,p10,district,22,16.81,16.81,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2040-2059,p90,district,22,26.49,26.49,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2080-2099,mean,district,22,21.41,21.41,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2080-2099,p10,district,22,17.71,17.71,Annual max consecutive dry days (drought intensity)
cdd,ssp245,2080-2099,p90,district,22,26.87,26.87,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2080-2099,mean,district,22,23.8,23.8,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2080-2099,p10,district,22,17.75,17.75,Annual max consecutive dry days (drought intensity)
cdd,ssp585,2080-2099,p90,district,22,29.73,29.73,Annual max consecutive dry days (drought intensity)
cwd,historical,1995-2014,mean,district,22,10.29,10.29,Annual max consecutive wet days
cwd,historical,1995-2014,p10,district,22,8.41,8.41,Annual max consecutive wet days
cwd,historical,1995-2014,p90,district,22,12.64,12.64,Annual max consecutive wet days
cwd,ssp245,2040-2059,mean,district,22,10.18,10.18,Annual max consecutive wet days
cwd,ssp245,2040-2059,p10,district,22,8.23,8.23,Annual max consecutive wet days
cwd,ssp245,2040-2059,p90,district,22,12.08,12.08,Annual max consecutive wet days
cwd,ssp585,2040-2059,mean,district,22,9.66,9.66,Annual max consecutive wet days
cwd,ssp585,2040-2059,p10,district,22,8.29,8.29,Annual max consecutive wet days
cwd,ssp585,2040-2059,p90,district,22,11.87,11.87,Annual max consecutive wet days
