borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Cabernet sauvignon,Cabernet Sauvignon,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,0.81515145,1.0,0.28191537,winkler,red,high,False,
Badacsonyi,Balaton,Merlot,Merlot,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,red,high,False,
Badacsonyi,Balaton,Pinot noir,Pinot Noir,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,1.0,1.0,0.96812546,huglin,red,high,False,
Badacsonyi,Balaton,Syrah,Syrah,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,0.81515145,1.0,0.28191537,winkler,red,high,False,
Badacsonyi,Balaton,Zweigelt,Zweigelt,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8828438,True,1.0,1.0,0.8828438,huglin,red,high,False,
Badacsonyi,Balaton,Portugieser,Portugieser / Kékoportó,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8828438,True,1.0,1.0,0.8828438,huglin,red,medium,False,
Badacsonyi,Balaton,Tempranillo,Tempranillo,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Touriga Nacional,Touriga Nacional,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Garnacha,Grenache,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Mourvèdre,Mourvèdre / Monastrell,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Carignan,Carignan / Mazuelo,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,low,False,
Badacsonyi,Balaton,Aglianico,Aglianico,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Nero d'Avola,Nero d'Avola,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,red,medium,False,
Badacsonyi,Balaton,Sangiovese,Sangiovese,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,1.0,1.0,0.34584415,winkler,red,high,False,
Badacsonyi,Balaton,Vermentino,Vermentino,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,1.0,1.0,0.34584415,winkler,white,medium,False,
Badacsonyi,Balaton,Assyrtiko,Assyrtiko,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.81515145,1.0,0.0,huglin,white,medium,False,
Badacsonyi,Balaton,Fiano,Fiano,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.03612552,False,1.0,1.0,0.027094139,winkler,white,medium,False,
Badacsonyi,Balaton,Verdejo,Verdejo,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,1.0,1.0,0.34584415,winkler,white,medium,False,
Badacsonyi,Balaton,Albariño,Albariño,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,1.0,1.0,0.8501671,huglin,white,medium,False,
Badacsonyi,Balaton,Solaris,Solaris,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9898957,True,1.0,1.0,0.9898957,huglin,white,medium,False,
Badacsonyi,Balaton,Bronner,Bronner,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9898957,True,1.0,1.0,0.9898957,huglin,white,medium,False,
Badacsonyi,Balaton,Johanniter,Johanniter,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9948565,True,1.0,1.0,0.9948565,huglin,white,medium,False,
Badacsonyi,Balaton,Souvignier Gris,Souvignier Gris,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9472139,True,1.0,1.0,0.9472139,huglin,white,medium,False,
Badacsonyi,Balaton,Muscaris,Muscaris,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9948565,True,1.0,1.0,0.9948565,huglin,white,medium,False,
Badacsonyi,Balaton,Cabernet Cortis,Cabernet Cortis,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8828438,True,1.0,1.0,0.8828438,huglin,red,medium,False,
Badacsonyi,Balaton,Kövidinka,Kovidinka,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,0.81515145,1.0,0.6930149,frost,white,low,False,
Badacsonyi,Balaton,Kunleány,Kunleany,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.6736255,True,0.81515145,1.0,0.54910684,huglin,white,low,False,
Badacsonyi,Balaton,Zengő,Zengo,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,0.9138889,1.0,0.7769582,huglin,white,low,False,
Badacsonyi,Balaton,Zenit,Zenit,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8502182,True,0.81515145,1.0,0.6930566,frost,white,low,False,
Badacsonyi,Balaton,Zefír,Zefir,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.86167544,True,0.9138889,1.0,0.7874756,huglin,white,low,False,
Badacsonyi,Balaton,Zeus,Zeus,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.86167544,True,0.9138889,1.0,0.7874756,huglin,white,low,False,
Badacsonyi,Balaton,Nektár,Nektar,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.86167544,True,0.9138889,1.0,0.7874756,huglin,white,low,False,
Badacsonyi,Balaton,Rózsakő,Rozsako,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8934224,True,0.9138889,1.0,0.81648874,huglin,white,low,False,
Badacsonyi,Balaton,Vulcanus,Vulcanus,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.86167544,True,0.9138889,1.0,0.7874756,huglin,white,low,False,
Badacsonyi,Balaton,Blauburger,Blauburger,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.6736255,True,0.9138889,1.0,0.6156188,huglin,red,low,False,
Badacsonyi,Balaton,Turán,Turan,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,True,0.9138889,1.0,0.42141747,huglin,red,low,False,
Badacsonyi,Balaton,Menoire,Menoire,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,0.81515145,1.0,0.28191537,winkler,red,low,False,
Badacsonyi,Balaton,Bíborkadarka,Biborkadarka,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.03612552,False,0.81515145,1.0,0.022085827,winkler,red,low,False,
Badacsonyi,Balaton,Alibernet,Alibernet,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.03612552,False,0.81515145,1.0,0.022085827,winkler,red,low,False,
Badacsonyi,Balaton,Aletta,Aletta,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.850132,True,0.99743587,1.0,0.8479522,huglin,white,low,False,
Badacsonyi,Balaton,Zalagyöngye,Zalagyongye,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.9221009,True,0.99743587,1.0,0.9197365,huglin,white,low,False,
Badacsonyi,Balaton,Chasselas,Chasselas,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.96812546,True,0.9138889,1.0,0.88475907,frost,white,low,False,
Badacsonyi,Balaton,Sémillon,Semillon,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,0.81515145,1.0,0.6930149,frost,white,low,False,
Badacsonyi,Balaton,Auxerrois,Auxerrois,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.86167544,True,0.9138889,1.0,0.7874756,huglin,white,low,False,
Badacsonyi,Balaton,Gamay,Gamay,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.8501671,True,0.81515145,1.0,0.6930149,frost,red,low,False,
Badacsonyi,Balaton,Malbec,Malbec,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.03612552,False,0.6966666,1.0,0.018875582,winkler,red,low,False,
Badacsonyi,Balaton,Tannat,Tannat,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.03612552,False,0.6966666,1.0,0.018875582,winkler,red,low,False,
Badacsonyi,Balaton,Sagrantino,Sagrantino,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.0,False,0.6966666,1.0,0.0,huglin,red,low,False,
Badacsonyi,Balaton,Mészikadar,Meszikadar,1991-2020,observed,1908.5001,1421.2817,13.033334,0.73333335,0.46112552,False,0.81515145,1.0,0.28191537,winkler,red,low,False,
Balatonboglári,Balaton,Furmint,Furmint,1991-2020,observed,2111.9016,1586.0974,11.1,1.7666667,0.9320004,True,0.99090904,1.0,0.92352766,huglin,white,medium,False,
Balatonboglári,Balaton,Hárslevelű,Harslevelu,1991-2020,observed,2111.9016,1586.0974,11.1,1.7666667,0.94939035,True,0.99090904,1.0,0.9407595,huglin,white,medium,False,
Balatonboglári,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,1991-2020,observed,2111.9016,1586.0974,11.1,1.7666667,0.9245662,True,0.99090904,1.0,0.916161,huglin,white,low,False,
Balatonboglári,Balaton,Kabar,Kabar,1991-2020,observed,2111.9016,1586.0974,11.1,1.7666667,0.94939035,True,0.99090904,1.0,0.9407595,huglin,white,low,False,
