borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.9863037,True,1.0,1.0,0.9863037,huglin,white,medium,True,0.29328877
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,white,medium,False,0.26254928
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.96569395,True,1.0,1.0,0.96569395,huglin,white,low,False,0.4165871
Badacsonyi,Balaton,Kabar,Kabar,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,white,low,False,0.26254928
Badacsonyi,Balaton,Zéta,Zeta,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,white,low,False,0.26254928
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,white,low,False,0.26254928
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.89054966,True,1.0,1.0,0.89054966,huglin,white,high,True,0.0077058673
Badacsonyi,Balaton,Rajnai rizling,Riesling,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,white,high,True,-0.4018157
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7392596,False,1.0,1.0,0.55444473,winkler,white,high,True,-0.41368073
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7392596,False,1.0,1.0,0.55444473,winkler,white,high,False,-0.41368073
Badacsonyi,Balaton,Szürkebarát,Pinot gris,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85143524,True,1.0,1.0,0.85143524,huglin,white,high,True,-0.095778644
Badacsonyi,Balaton,Tramini,Gewürztraminer,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,white,high,False,-0.4018157
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85143524,True,1.0,1.0,0.85143524,huglin,white,high,False,-0.095778644
Badacsonyi,Balaton,Chardonnay,Chardonnay,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.88179284,True,1.0,1.0,0.88179284,huglin,white,high,False,-0.048210442
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,white,high,False,-0.4018157
Badacsonyi,Balaton,Zöld veltelíni,Grüner Veltliner,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,white,high,False,-0.4018157
Badacsonyi,Balaton,Kéknyelű,Keknyelu,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.89626884,True,1.0,1.0,0.89626884,huglin,white,low,True,0.19387281
Badacsonyi,Balaton,Juhfark,Juhfark,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,white,low,False,0.26254928
Badacsonyi,Balaton,Cserszegi fűszeres,Cserszegi fuszeres,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85143524,True,1.0,1.0,0.85143524,huglin,white,medium,False,-0.095778644
Badacsonyi,Balaton,Irsai Olivér,Irsai Oliver,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7392596,False,1.0,1.0,0.55444473,winkler,white,medium,False,-0.41368073
Badacsonyi,Balaton,Leányka,Leanyka,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85195124,True,1.0,1.0,0.85195124,huglin,white,medium,False,-0.041471183
Badacsonyi,Balaton,Királyleányka,Kiralyleanyka,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85195124,True,1.0,1.0,0.85195124,huglin,white,medium,False,-0.041471183
Badacsonyi,Balaton,Ezerjó,Ezerjo,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85195124,True,1.0,1.0,0.85195124,huglin,white,low,False,0.12367666
Badacsonyi,Balaton,Cirfandli,Zierfandler,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.89054966,True,1.0,1.0,0.89054966,huglin,white,low,False,0.1708982
Badacsonyi,Balaton,Generosa,Generosa,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85143524,True,1.0,1.0,0.85143524,huglin,white,low,False,-0.095778644
Badacsonyi,Balaton,Bianca,Bianca,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.88179284,True,1.0,1.0,0.88179284,huglin,white,medium,False,-0.048210442
Badacsonyi,Balaton,Arany sárfehér,Arany sarfeher,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.89054966,True,1.0,1.0,0.89054966,huglin,white,low,False,0.1708982
Badacsonyi,Balaton,Budai zöld,Budai zold,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.85195124,True,1.0,1.0,0.85195124,huglin,white,low,True,-0.041471183
Badacsonyi,Balaton,Muscat ottonel,Muscat Ottonel,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,white,medium,False,-0.4018157
Badacsonyi,Balaton,Kékfrankos,Blaufränkisch,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.89054966,True,1.0,1.0,0.89054966,huglin,red,high,False,0.0077058673
Badacsonyi,Balaton,Kadarka,Kadarka,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,red,medium,False,0.26254928
Badacsonyi,Balaton,Cabernet franc,Cabernet Franc,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,red,high,False,0.10538769
Badacsonyi,Balaton,Cabernet sauvignon,Cabernet Sauvignon,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.9976152,True,1.0,1.0,0.9976152,huglin,red,high,False,0.71569985
Badacsonyi,Balaton,Merlot,Merlot,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.95560586,True,1.0,1.0,0.95560586,huglin,red,high,False,0.26254928
Badacsonyi,Balaton,Pinot noir,Pinot Noir,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.7550797,False,1.0,1.0,0.56630975,winkler,red,high,False,-0.4018157
Badacsonyi,Balaton,Syrah,Syrah,2061-2080,rcp85,2378.1697,1932.7058,2.1,7.9,0.9976152,True,1.0,1.0,0.9976152,huglin,red,high,False,0.71569985
