borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.87148917,True,1.0,1.0,0.87148917,huglin,white,medium,True,0.17847425
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.8487756,True,1.0,1.0,0.8487756,huglin,white,medium,False,0.15571904
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.84860075,False,1.0,0.96250004,0.61258364,winkler,white,low,False,0.0634768
Badacsonyi,Balaton,Kabar,Kabar,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.8487756,True,1.0,1.0,0.8487756,huglin,white,low,False,0.15571904
Badacsonyi,Balaton,Zéta,Zeta,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.8487756,True,1.0,1.0,0.8487756,huglin,white,low,False,0.15571904
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.8487756,True,1.0,1.0,0.8487756,huglin,white,low,False,0.15571904
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.72717214,False,1.0,0.96250004,0.5249274,winkler,white,high,True,-0.3579164
Badacsonyi,Balaton,Rajnai rizling,Riesling,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.484315,False,1.0,0.44375002,0.1074574,winkler,white,high,True,-0.86066806
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.4233675,False,1.0,0.44375002,0.09393467,winkler,white,high,True,-0.8741908
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.4233675,False,1.0,0.44375002,0.09393467,winkler,white,high,False,-0.8741908
Badacsonyi,Balaton,Szürkebarát,Pinot gris,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.6057436,False,1.0,0.755,0.34300232,winkler,white,high,True,-0.60421157
Badacsonyi,Balaton,Tramini,Gewürztraminer,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.484315,False,1.0,0.44375002,0.1074574,winkler,white,high,False,-0.86066806
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.6057436,False,1.0,0.755,0.34300232,winkler,white,high,False,-0.60421157
Badacsonyi,Balaton,Chardonnay,Chardonnay,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.72717214,False,1.0,0.96250004,0.5249274,winkler,white,high,False,-0.4050759
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,2081-2100,rcp85,2601.1523,2136.2856,3.25,12.45,0.484315,False,1.0,0.755,0.18282892,winkler,white,high,False,-0.78529656
