borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.88236105,True,1.0,1.0,0.88236105,huglin,white,medium,True,0.18934613
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.8912549,True,1.0,1.0,0.8912549,huglin,white,medium,False,0.19819832
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.86791384,True,1.0,1.0,0.86791384,huglin,white,low,False,0.318807
Badacsonyi,Balaton,Kabar,Kabar,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.8912549,True,1.0,1.0,0.8912549,huglin,white,low,False,0.19819832
Badacsonyi,Balaton,Zéta,Zeta,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.8912549,True,1.0,1.0,0.8912549,huglin,white,low,False,0.19819832
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.8912549,True,1.0,1.0,0.8912549,huglin,white,low,False,0.19819832
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.9563271,True,1.0,1.0,0.9563271,huglin,white,high,True,0.07348329
Badacsonyi,Balaton,Rajnai rizling,Riesling,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,True,0.029708385
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,True,0.029708385
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,False,0.029708385
Badacsonyi,Balaton,Szürkebarát,Pinot gris,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.9978093,True,1.0,1.0,0.9978093,huglin,white,high,True,0.050595403
Badacsonyi,Balaton,Tramini,Gewürztraminer,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,False,0.029708385
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.9978093,True,1.0,1.0,0.9978093,huglin,white,high,False,0.050595403
Badacsonyi,Balaton,Chardonnay,Chardonnay,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.98670024,True,1.0,1.0,0.98670024,huglin,white,high,False,0.05669695
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,False,0.029708385
Badacsonyi,Balaton,Zöld veltelíni,Grüner Veltliner,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,high,False,0.029708385
Badacsonyi,Balaton,Kéknyelű,Keknyelu,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.932604,True,1.0,1.0,0.932604,huglin,white,low,True,0.23020798
Badacsonyi,Balaton,Juhfark,Juhfark,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.8912549,True,1.0,1.0,0.8912549,huglin,white,low,False,0.19819832
Badacsonyi,Balaton,Cserszegi fűszeres,Cserszegi fuszeres,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.9978093,True,1.0,1.0,0.9978093,huglin,white,medium,False,0.050595403
Badacsonyi,Balaton,Irsai Olivér,Irsai Oliver,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.99783385,True,1.0,1.0,0.99783385,huglin,white,medium,False,0.029708385
Badacsonyi,Balaton,Leányka,Leanyka,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.97691447,True,1.0,1.0,0.97691447,huglin,white,medium,False,0.08349204
Badacsonyi,Balaton,Királyleányka,Kiralyleanyka,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.97691447,True,1.0,1.0,0.97691447,huglin,white,medium,False,0.08349204
Badacsonyi,Balaton,Ezerjó,Ezerjo,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.97691447,True,1.0,1.0,0.97691447,huglin,white,low,False,0.24863988
Badacsonyi,Balaton,Cirfandli,Zierfandler,2021-2040,rcp85,2023.0066,1522.4597,10.15,2.6,0.9563271,True,1.0,1.0,0.9563271,huglin,white,low,False,0.23667562
