borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9816995,True,1.0,1.0,0.9816995,huglin,white,medium,True,0.2886846
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,white,medium,False,0.3019551
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.98530704,True,1.0,1.0,0.98530704,huglin,white,low,False,0.4362002
Badacsonyi,Balaton,Kabar,Kabar,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,white,low,False,0.3019551
Badacsonyi,Balaton,Zéta,Zeta,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,white,low,False,0.3019551
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,white,low,False,0.3019551
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,white,high,True,0.106835425
Badacsonyi,Balaton,Rajnai rizling,Riesling,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,True,-0.30702645
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,True,-0.30702645
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,False,-0.30702645
Badacsonyi,Balaton,Szürkebarát,Pinot gris,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.93564194,True,1.0,1.0,0.93564194,huglin,white,high,True,-0.011571944
Badacsonyi,Balaton,Tramini,Gewürztraminer,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,False,-0.30702645
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.93564194,True,1.0,1.0,0.93564194,huglin,white,high,False,-0.011571944
Badacsonyi,Balaton,Chardonnay,Chardonnay,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9740934,True,1.0,1.0,0.9740934,huglin,white,high,False,0.044090092
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,False,-0.30702645
Badacsonyi,Balaton,Zöld veltelíni,Grüner Veltliner,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,high,False,-0.30702645
Badacsonyi,Balaton,Kéknyelű,Keknyelu,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.99595326,True,1.0,1.0,0.99595326,huglin,white,low,True,0.29355723
Badacsonyi,Balaton,Juhfark,Juhfark,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,white,low,False,0.3019551
Badacsonyi,Balaton,Cserszegi fűszeres,Cserszegi fuszeres,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.93564194,True,1.0,1.0,0.93564194,huglin,white,medium,False,-0.011571944
Badacsonyi,Balaton,Irsai Olivér,Irsai Oliver,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,medium,False,-0.30702645
Badacsonyi,Balaton,Leányka,Leanyka,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.95612216,True,1.0,1.0,0.95612216,huglin,white,medium,False,0.062699735
Badacsonyi,Balaton,Királyleányka,Kiralyleanyka,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.95612216,True,1.0,1.0,0.95612216,huglin,white,medium,False,0.062699735
Badacsonyi,Balaton,Ezerjó,Ezerjo,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.95612216,True,1.0,1.0,0.95612216,huglin,white,low,False,0.22784758
Badacsonyi,Balaton,Cirfandli,Zierfandler,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,white,low,False,0.27002776
Badacsonyi,Balaton,Generosa,Generosa,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.93564194,True,1.0,1.0,0.93564194,huglin,white,low,False,-0.011571944
Badacsonyi,Balaton,Bianca,Bianca,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9740934,True,1.0,1.0,0.9740934,huglin,white,medium,False,0.044090092
Badacsonyi,Balaton,Arany sárfehér,Arany sarfeher,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,white,low,False,0.27002776
Badacsonyi,Balaton,Budai zöld,Budai zold,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.95612216,True,1.0,1.0,0.95612216,huglin,white,low,True,0.062699735
Badacsonyi,Balaton,Muscat ottonel,Muscat Ottonel,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,white,medium,False,-0.30702645
Badacsonyi,Balaton,Kékfrankos,Blaufränkisch,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,red,high,False,0.106835425
Badacsonyi,Balaton,Kadarka,Kadarka,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,red,medium,False,0.3019551
Badacsonyi,Balaton,Cabernet franc,Cabernet Franc,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,red,high,False,0.14479351
Badacsonyi,Balaton,Cabernet sauvignon,Cabernet Sauvignon,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.94762397,True,1.0,1.0,0.94762397,huglin,red,high,False,0.6657086
Badacsonyi,Balaton,Merlot,Merlot,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9950117,True,1.0,1.0,0.9950117,huglin,red,high,False,0.3019551
Badacsonyi,Balaton,Pinot noir,Pinot Noir,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.8814653,False,1.0,1.0,0.661099,winkler,red,high,False,-0.30702645
Badacsonyi,Balaton,Syrah,Syrah,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.94762397,True,1.0,1.0,0.94762397,huglin,red,high,False,0.6657086
Badacsonyi,Balaton,Zweigelt,Zweigelt,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,red,high,False,0.106835425
Badacsonyi,Balaton,Portugieser,Portugieser / Kékoportó,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.9896792,True,1.0,1.0,0.9896792,huglin,red,medium,False,0.106835425
Badacsonyi,Balaton,Tempranillo,Tempranillo,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.59255886,True,1.0,1.0,0.59255886,huglin,red,medium,False,0.59255886
Badacsonyi,Balaton,Touriga Nacional,Touriga Nacional,2061-2080,rcp45,2209.1384,1732.3934,7.35,5.1,0.30922556,True,1.0,1.0,0.30922556,huglin,red,medium,False,0.30922556
