borvidek,borregio,variety,variety_en,period,scenario,huglin_mean,winkler_mean,frost_days_mean,heat_days_mean,huglin_score,winkler_ok,frost_score,heat_score,suitability,limiting_factor,colour,confidence,in_principal_varieties,delta_vs_1991_2020
Badacsonyi,Balaton,Furmint,Furmint,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.99971145,True,1.0,1.0,0.99971145,huglin,white,medium,True,0.30669653
Badacsonyi,Balaton,Hárslevelű,Harslevelu,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.995491,True,1.0,1.0,0.995491,huglin,white,medium,False,0.30243444
Badacsonyi,Balaton,Sárgamuskotály,Yellow Muscat / Muscat Lunel,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.999331,True,1.0,1.0,0.999331,huglin,white,low,False,0.45022416
Badacsonyi,Balaton,Kabar,Kabar,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.995491,True,1.0,1.0,0.995491,huglin,white,low,False,0.30243444
Badacsonyi,Balaton,Zéta,Zeta,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.995491,True,1.0,1.0,0.995491,huglin,white,low,False,0.30243444
Badacsonyi,Balaton,Kövérszőlő,Koverszolo,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.995491,True,1.0,1.0,0.995491,huglin,white,low,False,0.30243444
Badacsonyi,Balaton,Olaszrizling,Welschriesling / Olaszrizling,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.94892555,True,1.0,1.0,0.94892555,huglin,white,high,True,0.06608176
Badacsonyi,Balaton,Rajnai rizling,Riesling,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,True,-0.3302409
Badacsonyi,Balaton,Rizlingszilváni,Müller-Thurgau,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,True,-0.3302409
Badacsonyi,Balaton,Müller-Thurgau,Müller-Thurgau,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,False,-0.3302409
Badacsonyi,Balaton,Szürkebarát,Pinot gris,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.8843437,True,1.0,1.0,0.8843437,huglin,white,high,True,-0.062870204
Badacsonyi,Balaton,Tramini,Gewürztraminer,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,False,-0.3302409
Badacsonyi,Balaton,Sauvignon blanc,Sauvignon Blanc,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.8843437,True,1.0,1.0,0.8843437,huglin,white,high,False,-0.062870204
Badacsonyi,Balaton,Chardonnay,Chardonnay,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.9315726,True,1.0,1.0,0.9315726,huglin,white,high,False,0.0015693307
Badacsonyi,Balaton,Pinot blanc,Pinot Blanc,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,False,-0.3302409
Badacsonyi,Balaton,Zöld veltelíni,Grüner Veltliner,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.85051274,False,1.0,1.0,0.63788456,winkler,white,high,False,-0.3302409
Badacsonyi,Balaton,Kéknyelű,Keknyelu,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.95899916,True,1.0,1.0,0.95899916,huglin,white,low,True,0.25660312
Badacsonyi,Balaton,Juhfark,Juhfark,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.995491,True,1.0,1.0,0.995491,huglin,white,low,False,0.30243444
Badacsonyi,Balaton,Cserszegi fűszeres,Cserszegi fuszeres,2081-2100,rcp45,2288.8276,1778.8512,5.9,5.15,0.8843437,True,1.0,1.0,0.8843437,huglin,white,medium,False,-0.062870204
