borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,13.807158,12.883344364166259,13.623842239379883,15.009292602539062,0.8487796
Badacsonyi,extreme_heat_days_t38,14,0.8892857,0.11500000283122062,0.6749999821186066,2.199999940395356,0.7930415
Badacsonyi,growing_season_precip,14,486.08255,448.25002136230466,493.45677185058594,520.2360290527344,34.359863
Badacsonyi,hargreaves_pet,14,798.20404,775.4214050292969,800.0816040039062,822.2158752441406,20.173239
Badacsonyi,heat_days_t35,14,5.4,2.425000011920929,4.650000095367432,10.349999761581424,3.0290897
Badacsonyi,huglin_index,14,2290.8748,2149.114208984375,2268.3675537109375,2452.112719726563,127.56254
Badacsonyi,last_spring_frost_doy,14,74.725,65.1249984741211,75.5999984741211,82.84499740600586,7.96313
Badacsonyi,p_minus_pet,14,-312.1215,-353.2110168457031,-293.7917938232422,-275.932373046875,45.473343
Badacsonyi,spring_frost_days,14,4.946429,2.2450000047683716,4.900000095367432,7.245000123977663,1.9619912
Badacsonyi,winkler_gdd,14,1841.4208,1703.2505981445313,1803.5790405273438,2005.8046264648438,134.01787
Balatonboglári,cool_night_index,14,14.111574,13.229592227935791,13.914046287536621,15.269435214996339,0.8333113
Balatonboglári,extreme_heat_days_t38,14,2.0464284,0.6450000166893005,1.7249999642372131,4.710000014305116,1.6127454
Balatonboglári,growing_season_precip,14,462.76166,437.70057067871096,472.31346130371094,488.6461517333984,27.522703
Balatonboglári,hargreaves_pet,14,854.771,835.0113098144532,855.6280212402344,877.0442321777344,19.074568
Balatonboglári,heat_days_t35,14,10.178572,6.139999961853027,8.674999713897705,16.58499946594239,4.5456533
Balatonboglári,huglin_index,14,2507.1785,2379.7177001953123,2478.3662109375,2663.9058837890625,121.24938
Balatonboglári,last_spring_frost_doy,14,69.01429,58.75999870300293,69.2249984741211,79.85999984741211,9.111245
Balatonboglári,p_minus_pet,14,-392.00934,-420.1044555664063,-378.5876007080078,-359.3261474609375,40.07908
Balatonboglári,spring_frost_days,14,3.607143,1.5499999523162842,3.5,5.645000123977662,1.7534424
Balatonboglári,winkler_gdd,14,2028.0508,1901.2444946289063,1980.7501831054688,2192.4281494140623,130.55847
Balatonfelvidéki,cool_night_index,14,14.184718,13.34772834777832,13.985364437103271,15.314024543762207,0.8191249
