variety,mean,p10,p50,p90,std
Aletta,0.95292574,0.8829725503921508,0.9715654253959656,0.999116575717926,0.0558258
Zengő,0.93925136,0.8645946085453033,0.9662380814552307,0.9984371483325958,0.07920983
Blauburger,0.9372916,0.8580564439296723,0.963541179895401,0.9986674964427948,0.079383895
Kunleány,0.9336431,0.8544846475124359,0.9583415389060974,0.9985105812549591,0.07857252
Kövidinka,0.9326267,0.8563866972923279,0.957592099905014,0.998324203491211,0.08271355
Turán,0.92895526,0.8525820195674896,0.9520782828330994,0.9970505118370057,0.077313155
Furmint,0.92878675,0.8514933347702026,0.957592099905014,0.998324203491211,0.09316766
Gamay,0.9258137,0.842845779657364,0.957592099905014,0.998324203491211,0.10153758
Sémillon,0.9258137,0.842845779657364,0.957592099905014,0.998324203491211,0.10153758
Albariño,0.9218859,0.8318470776081085,0.9693628251552582,0.9987168848514557,0.13992083
Zenit,0.9137359,0.8051555752754211,0.9453348517417908,0.9975920140743255,0.107243724
Hárslevelű,0.90948963,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11808806
Zéta,0.90948963,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11808806
Kabar,0.90948963,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11808806
Kövérszőlő,0.90948963,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11808806
Kadarka,0.90925884,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11875417
Merlot,0.90925884,0.7798671245574952,0.9453348517417908,0.9975920140743255,0.11875417
Cabernet franc,0.8935282,0.6441036760807037,0.9577193260192871,0.9983108162879943,0.1571574
Vermentino,0.87750113,0.6447322428226471,0.9621367156505585,0.998504889011383,0.15690958
Verdejo,0.87750113,0.6447322428226471,0.9621367156505585,0.998504889011383,0.15690958
Sangiovese,0.87750113,0.6447322428226471,0.9621367156505585,0.998504889011383,0.15690958
Mészikadar,0.87397677,0.6411920189857483,0.9509572088718414,0.9977516174316406,0.15518628
Syrah,0.86787987,0.6408101856708527,0.9458686411380768,0.9981566727161407,0.15801407
Menoire,0.86683774,0.6399471223354339,0.9509572088718414,0.9977516174316406,0.16240959
Bianca,0.8653385,0.6049923539161682,0.9183282554149628,0.9967444539070129,0.16929315
Juhfark,0.86424404,0.5856990933418275,0.9452921450138092,0.9975920140743255,0.19025
Sárgamuskotály,0.86071193,0.5856990933418275,0.9428083300590515,0.9976556837558747,0.18976815
Kékfrankos,0.8603987,0.5577125430107117,0.9305581450462341,0.9966491341590882,0.19639552
Zweigelt,0.8603987,0.5577125430107117,0.9305581450462341,0.9966491341590882,0.19639552
Cabernet sauvignon,0.8603688,0.6379519522190094,0.9458686411380768,0.9981566727161407,0.16754977
Auxerrois,0.8597228,0.5820226430892944,0.9255890250205994,0.9963887572288513,0.18259585
Nektár,0.8597228,0.5820226430892944,0.9255890250205994,0.9963887572288513,0.18259585
Vulcanus,0.8597228,0.5820226430892944,0.9255890250205994,0.9963887572288513,0.18259585
Zeus,0.8597228,0.5820226430892944,0.9255890250205994,0.9963887572288513,0.18259585
Zefír,0.8597228,0.5820226430892944,0.9255890250205994,0.9963887572288513,0.18259585
Portugieser,0.85919774,0.5577125430107117,0.9304099678993225,0.9965607941150665,0.19621502
Olaszrizling,0.85919774,0.5577125430107117,0.9304099678993225,0.9965607941150665,0.19621502
Cabernet Cortis,0.85919774,0.5577125430107117,0.9304099678993225,0.9965607941150665,0.19621502
Chardonnay,0.85454136,0.5575398087501526,0.9183282554149628,0.9967444539070129,0.19468784
Arany sárfehér,0.8529999,0.5960703313350677,0.9162747859954834,0.995484071969986,0.1748778
Kéknyelű,0.84347427,0.5316592574119567,0.9214733242988586,0.9955373108386993,0.19895545
Fiano,0.83608395,0.5404169023036957,0.9167743921279907,0.9948380351066589,0.19302443
Bíborkadarka,0.8340586,0.5312997400760651,0.9092828333377838,0.9955627858638764,0.19509539
Alibernet,0.8305648,0.5312997400760651,0.9007869958877563,0.9939646661281586,0.1923022
Zalagyöngye,0.82191515,0.4926176428794861,0.8730094730854034,0.9918083369731903,0.19740075
Malbec,0.81833196,0.5189452469348907,0.9014182388782501,0.994902354478836,0.20302588
Generosa,0.8160185,0.4765025734901429,0.872521698474884,0.9905063152313233,0.20810999
Cserszegi fűszeres,0.8160185,0.4765025734901429,0.872521698474884,0.9905063152313233,0.20810999
Cirfandli,0.8157096,0.43299694359302526,0.9139550626277924,0.995484071969986,0.23882401
Tannat,0.8129789,0.5189452469348907,0.8944752812385559,0.9913507163524627,0.20064928
Rózsakő,0.8103657,0.4536540508270265,0.8736205101013184,0.9937207758426666,0.21639574
Ezerjó,0.8047629,0.45073815286159513,0.8696042895317078,0.9934274911880493,0.21156077
Királyleányka,0.7974117,0.3862571299076081,0.8800685405731201,0.9942452192306519,0.24606213
Leányka,0.7974117,0.3862571299076081,0.8800685405731201,0.9942452192306519,0.24606213
Budai zöld,0.7974117,0.3862571299076081,0.8800685405731201,0.9942452192306519,0.24606213
Sauvignon blanc,0.7923533,0.3862571299076081,0.872521698474884,0.9905063152313233,0.24339686
Souvignier Gris,0.7923533,0.3862571299076081,0.872521698474884,0.9905063152313233,0.24339686
Szürkebarát,0.7923533,0.3862571299076081,0.872521698474884,0.9905063152313233,0.24339686
Assyrtiko,0.75137633,0.27067398726940156,0.8659657537937164,0.985481572151184,0.27742338
Chasselas,0.74991316,0.38884633183479317,0.8252065777778625,0.9631081700325013,0.21979491
Sagrantino,0.7294718,0.24547987431287766,0.8580957651138306,0.9651099264621735,0.2755041
Tempranillo,0.67216575,0.18044932633638383,0.8146426677703857,0.9563259541988373,0.29563615
Zöld veltelíni,0.60405576,0.21336172223091127,0.6278227865695953,0.9701144218444824,0.25695086
Pinot blanc,0.60405576,0.21336172223091127,0.6278227865695953,0.9701144218444824,0.25695086
Muscat ottonel,0.57261616,0.11747411862015729,0.6222582161426544,0.9701144218444824,0.2870983
Rajnai rizling,0.57261616,0.11747411862015729,0.6222582161426544,0.9701144218444824,0.2870983
Pinot noir,0.57261616,0.11747411862015729,0.6222582161426544,0.9701144218444824,0.2870983
Tramini,0.57261616,0.11747411862015729,0.6222582161426544,0.9701144218444824,0.2870983
Müller-Thurgau,0.56790257,0.10925105214118962,0.619717925786972,0.9701144218444824,0.2903347
Rizlingszilváni,0.56790257,0.10925105214118962,0.619717925786972,0.9701144218444824,0.2903347
Irsai Olivér,0.56790257,0.10925105214118962,0.619717925786972,0.9701144218444824,0.2903347
Johanniter,0.5634594,0.10925105214118962,0.619717925786972,0.9492192447185517,0.28540924
Muscaris,0.5634594,0.10925105214118962,0.619717925786972,0.9492192447185517,0.28540924
Touriga Nacional,0.51860636,0.0,0.5806673169136047,0.8933724761009216,0.32922557
Bronner,0.5005259,0.08144896700978281,0.5145832002162933,0.8846054553985596,0.27882734
Solaris,0.5005259,0.08144896700978281,0.5145832002162933,0.8846054553985596,0.27882734
Aglianico,0.34656915,0.0,0.3040361702442169,0.8516839861869812,0.31813893
Garnacha,0.2965167,0.0,0.2280271276831627,0.8516839861869812,0.3021701
Carignan,0.2965167,0.0,0.2280271276831627,0.8516839861869812,0.3021701
Mourvèdre,0.00015645643,0.0,0.0,0.0,0.0027457993
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
