period,scenario,variety,mean,p10,p50,p90,std
1971-2000,observed,Sangiovese,0.23366235,0.0,0.09679311141371727,0.5631112456321716,0.23774993
1971-2000,observed,Vermentino,0.23366235,0.0,0.09679311141371727,0.5631112456321716,0.23774993
1971-2000,observed,Cabernet sauvignon,0.17342857,0.0,0.0678759217262268,0.3987688720226288,0.17387357
1971-2000,observed,Syrah,0.17342857,0.0,0.0678759217262268,0.3987688720226288,0.17387357
1971-2000,observed,Menoire,0.17324406,0.0,0.0678759217262268,0.3987688720226288,0.17360723
1971-2000,observed,Mészikadar,0.17324406,0.0,0.0678759217262268,0.3987688720226288,0.17360723
1971-2000,observed,Fiano,0.10630682,0.0,0.0,0.39273545145988464,0.17377271
1971-2000,observed,Bíborkadarka,0.07462652,0.0,0.0,0.26426348090171814,0.1194779
1971-2000,observed,Alibernet,0.07462652,0.0,0.0,0.26426348090171814,0.1194779
1971-2000,observed,Tannat,0.059610486,0.0,0.0,0.1984073519706726,0.09442316
1971-2000,observed,Malbec,0.059610486,0.0,0.0,0.1984073519706726,0.09442316
1971-2000,observed,Assyrtiko,0.018531326,0.0,0.0,0.06764541566371918,0.046419002
1971-2000,observed,Sagrantino,0.014536084,0.0,0.0,0.049879200756549835,0.036925524
1971-2000,observed,Tempranillo,0.0123542175,0.0,0.0,0.04509694129228592,0.030946001
1971-2000,observed,Touriga Nacional,0.0,0.0,0.0,0.0,0.0
1971-2000,observed,Nero d'Avola,0.0,0.0,0.0,0.0,0.0
1971-2000,observed,Mourvèdre,0.0,0.0,0.0,0.0,0.0
1971-2000,observed,Garnacha,0.0,0.0,0.0,0.0,0.0
1971-2000,observed,Carignan,0.0,0.0,0.0,0.0,0.0
1971-2000,observed,Aglianico,0.0,0.0,0.0,0.0,0.0
1991-2020,observed,Kékfrankos,0.9587345,0.892189621925354,0.9690572321414948,0.9973452091217041,0.037002526
1991-2020,observed,Zweigelt,0.9587345,0.892189621925354,0.9690572321414948,0.9973452091217041,0.037002526
1991-2020,observed,Zöld veltelíni,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Rajnai rizling,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Tramini,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Muscat ottonel,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Müller-Thurgau,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Pinot noir,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Pinot blanc,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Rizlingszilváni,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Irsai Olivér,0.9419541,0.8671644926071167,0.9660921096801758,0.9975724816322327,0.07906968
1991-2020,observed,Muscaris,0.93469197,0.8627450466156006,0.9627614617347717,0.9948564767837524,0.07902129
1991-2020,observed,Johanniter,0.93469197,0.8627450466156006,0.9627614617347717,0.9948564767837524,0.07902129
1991-2020,observed,Bianca,0.92977667,0.8342617750167847,0.9682546555995941,0.9995221495628357,0.088484176
1991-2020,observed,Chardonnay,0.92977667,0.8342617750167847,0.9682546555995941,0.9995221495628357,0.088484176
1991-2020,observed,Generosa,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
1991-2020,observed,Sauvignon blanc,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
1991-2020,observed,Souvignier Gris,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
1991-2020,observed,Szürkebarát,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
1991-2020,observed,Cserszegi fűszeres,0.9236666,0.8421075344085693,0.9633029997348785,0.9987086653709412,0.085336536
1991-2020,observed,Leányka,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
1991-2020,observed,Királyleányka,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
1991-2020,observed,Budai zöld,0.9158591,0.8067287802696228,0.9554797410964966,0.9991511106491089,0.09329864
1991-2020,observed,Cabernet Cortis,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
1991-2020,observed,Portugieser,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
1991-2020,observed,Olaszrizling,0.915726,0.7975103259086609,0.948675274848938,0.9973452091217041,0.096895814
1991-2020,observed,Solaris,0.8843586,0.8017001748085022,0.9087872207164764,0.983823299407959,0.09302358
1991-2020,observed,Bronner,0.8843586,0.8017001748085022,0.9087872207164764,0.983823299407959,0.09302358
1991-2020,observed,Cabernet franc,0.8817508,0.7562807202339172,0.9050317704677582,0.9805428385734558,0.10390465
1991-2020,observed,Zalagyöngye,0.87971187,0.7492127418518066,0.9197232723236084,0.9929330945014954,0.11906884
1991-2020,observed,Albariño,0.87256217,0.747818112373352,0.8935894966125488,0.9631302952766418,0.1008515
1991-2020,observed,Aletta,0.8248163,0.6633850336074829,0.8657763004302979,0.9225234389305115,0.11829291
1991-2020,observed,Rózsakő,0.8083853,0.6384278535842896,0.8194342851638794,0.9803645610809326,0.15093398
1991-2020,observed,Chasselas,0.7997914,0.6471477746963501,0.8166753351688385,0.9964980483055115,0.14429092
1991-2020,observed,Nektár,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
1991-2020,observed,Zefír,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
1991-2020,observed,Vulcanus,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
1991-2020,observed,Zeus,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
1991-2020,observed,Auxerrois,0.797835,0.6107671856880188,0.8369041979312897,0.9600579738616943,0.1503822
1991-2020,observed,Zengő,0.7693585,0.5767071843147278,0.8137067258358002,0.9075238108634949,0.14232554
1991-2020,observed,Blauburger,0.73330265,0.4788123667240143,0.7896444797515869,0.8739128708839417,0.1513306
1991-2020,observed,Ezerjó,0.72134185,0.5178855061531067,0.722993940114975,0.9448949694633484,0.17960113
1991-2020,observed,Arany sárfehér,0.7209372,0.5073440074920654,0.7306696474552155,0.9254294633865356,0.17767209
1991-2020,observed,Cirfandli,0.7209372,0.5073440074920654,0.7306696474552155,0.9254294633865356,0.17767209
1991-2020,observed,Kéknyelű,0.7118466,0.4954474866390228,0.7356186211109161,0.8988375663757324,0.17641425
1991-2020,observed,Hárslevelű,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Juhfark,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Kabar,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Kövérszőlő,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Zéta,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Zenit,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Kadarka,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Merlot,0.6936003,0.47311240434646606,0.7254225611686707,0.8666313886642456,0.16969123
1991-2020,observed,Turán,0.69101727,0.3827034533023834,0.7575567066669464,0.8515632152557373,0.17718309
1991-2020,observed,Furmint,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
1991-2020,observed,Gamay,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
1991-2020,observed,Kövidinka,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
1991-2020,observed,Sémillon,0.68612516,0.46781837940216064,0.7166520953178406,0.8628493547439575,0.16618884
1991-2020,observed,Sárgamuskotály,0.66714734,0.40180060267448425,0.7124975025653839,0.8522914052009583,0.17760015
1991-2020,observed,Kunleány,0.6544354,0.40180060267448425,0.6954612731933594,0.8513427972793579,0.1710825
1991-2020,observed,Verdejo,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
1991-2020,observed,Vermentino,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
1991-2020,observed,Sangiovese,0.60118985,0.3458441495895386,0.640981137752533,0.6809642314910889,0.14491855
1991-2020,observed,Cabernet sauvignon,0.47798157,0.20475953817367554,0.5176942646503448,0.6575353741645813,0.15540907
1991-2020,observed,Syrah,0.47798157,0.20475953817367554,0.5176942646503448,0.6575353741645813,0.15540907
1991-2020,observed,Menoire,0.47430718,0.20475953817367554,0.5123696029186249,0.6518808603286743,0.15306096
1991-2020,observed,Mészikadar,0.47430718,0.20475953817367554,0.5123696029186249,0.6518808603286743,0.15306096
1991-2020,observed,Fiano,0.45689797,0.06354937702417374,0.4695132225751877,0.6453120708465576,0.23414133
1991-2020,observed,Bíborkadarka,0.36423367,0.03818722814321518,0.38205285370349884,0.6319478750228882,0.20134336
1991-2020,observed,Alibernet,0.36318094,0.03818722814321518,0.38205285370349884,0.6318967938423157,0.20027547
1991-2020,observed,Malbec,0.30937812,0.026351559907197952,0.3272624760866165,0.567593514919281,0.18408331
1991-2020,observed,Tannat,0.3085074,0.026351559907197952,0.32587411999702454,0.5675476789474487,0.18329829
1991-2020,observed,Assyrtiko,0.21204399,0.0,0.11700192466378212,0.43078699707984924,0.20074037
1991-2020,observed,Sagrantino,0.18023206,0.0,0.09728703275322914,0.3829071819782257,0.17121907
1991-2020,observed,Tempranillo,0.15613145,0.0,0.07800128310918808,0.34351199865341187,0.16362195
1991-2020,observed,Touriga Nacional,0.059718683,0.0,0.0,0.1889665275812149,0.103347935
1991-2020,observed,Aglianico,0.015303586,0.0,0.0,0.046323925256729126,0.0430506
1991-2020,observed,Garnacha,0.010951072,0.0,0.0,0.030882617458701134,0.031908356
1991-2020,observed,Carignan,0.010951072,0.0,0.0,0.030882617458701134,0.031908356
1991-2020,observed,Nero d'Avola,0.0,0.0,0.0,0.0,0.0
1991-2020,observed,Mourvèdre,0.0,0.0,0.0,0.0,0.0
2021-2040,rcp45,Zweigelt,0.9587206,0.8962917387485504,0.9769485890865326,0.9994222402572632,0.05602892
2021-2040,rcp45,Kékfrankos,0.9587206,0.8962917387485504,0.9769485890865326,0.9994222402572632,0.05602892
2021-2040,rcp45,Cabernet franc,0.9330666,0.8120502769947052,0.9660117030143738,0.9990392327308655,0.08548824
2021-2040,rcp45,Olaszrizling,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
2021-2040,rcp45,Portugieser,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
2021-2040,rcp45,Cabernet Cortis,0.92997336,0.8266910076141357,0.9638870060443878,0.9986730575561523,0.08451452
2021-2040,rcp45,Bianca,0.92926294,0.8460020065307617,0.954709380865097,0.9982789754867554,0.07553146
2021-2040,rcp45,Albariño,0.92611337,0.7871771812438965,0.963090568780899,0.9973018109798432,0.09229373
2021-2040,rcp45,Chardonnay,0.9260258,0.8263116896152497,0.954709380865097,0.9982789754867554,0.08276775
2021-2040,rcp45,Aletta,0.9016103,0.7150468468666077,0.9441544115543365,0.996588534116745,0.11753474
2021-2040,rcp45,Cserszegi fűszeres,0.9003742,0.8165110528469086,0.9126989543437958,0.9918084919452668,0.08574355
2021-2040,rcp45,Generosa,0.9003742,0.8165110528469086,0.9126989543437958,0.9918084919452668,0.08574355
2021-2040,rcp45,Leányka,0.8985465,0.7779575407505035,0.9293820559978485,0.9969495415687561,0.11033762
2021-2040,rcp45,Budai zöld,0.8985465,0.7779575407505035,0.9293820559978485,0.9969495415687561,0.11033762
