borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,15.037642,13.694135665893555,14.745211124420166,16.54734058380127,1.134695
Badacsonyi,extreme_heat_days_t38,14,2.0321429,0.5150000035762787,1.524999976158142,3.8249998807907115,1.7890271
Badacsonyi,growing_season_precip,14,470.01154,412.50038146972656,479.2295379638672,529.2653564453125,57.781574
Badacsonyi,hargreaves_pet,14,819.92365,785.486865234375,819.5873413085938,847.7251953125,27.521364
Badacsonyi,heat_days_t35,14,9.157143,4.0449999332427975,7.974999904632568,15.194999885559085,5.504469
Badacsonyi,huglin_index,14,2497.44,2268.8225341796874,2470.6029052734375,2731.2278564453127,179.68686
Badacsonyi,last_spring_frost_doy,14,68.59286,53.21000022888184,70.79999923706055,78.69000091552735,10.183412
Badacsonyi,p_minus_pet,14,-349.91208,-413.8247528076172,-342.0010528564453,-277.09361877441404,75.03663
Badacsonyi,spring_frost_days,14,3.2964287,1.1600000143051148,3.4250000715255737,4.549999809265137,1.4544976
Badacsonyi,winkler_gdd,14,2055.506,1827.6119873046875,2030.98291015625,2318.4791259765625,194.21643
Balatonboglári,cool_night_index,14,15.367156,14.158055877685547,15.044136047363281,16.821491241455078,1.0810931
Balatonboglári,extreme_heat_days_t38,14,4.1928573,1.0300000071525575,3.5500000715255737,8.10500020980835,3.2586486
Balatonboglári,growing_season_precip,14,447.98315,397.1436004638672,456.5417938232422,489.9635803222656,46.338936
Balatonboglári,hargreaves_pet,14,878.476,848.0199279785156,876.2166442871094,906.5203857421875,26.053946
Balatonboglári,heat_days_t35,14,15.857142,9.235000324249267,14.650000095367432,23.85499973297119,7.300181
Balatonboglári,huglin_index,14,2717.2852,2520.02705078125,2683.8026123046875,2948.258154296875,166.87184
Balatonboglári,last_spring_frost_doy,14,61.340977,43.54500045776367,65.21184158325195,70.625,10.980924
Balatonboglári,p_minus_pet,14,-430.49283,-487.967041015625,-423.8840789794922,-371.0020446777344,65.414116
Balatonboglári,spring_frost_days,14,2.232143,0.5750000163912774,2.125,3.5899999380111702,1.1910899
Balatonboglári,winkler_gdd,14,2245.3235,2046.2319091796876,2214.0040283203125,2506.674169921875,184.71033
Balatonfelvidéki,cool_night_index,14,15.448972,14.374818706512452,15.121549129486084,16.87962532043457,1.0460777
Balatonfelvidéki,extreme_heat_days_t38,14,2.7214284,0.6799999833106994,2.024999976158142,5.150000000000002,2.3044033
Balatonfelvidéki,growing_season_precip,14,464.8559,416.82147216796875,478.4037780761719,497.6879425048828,49.30312
Balatonfelvidéki,hargreaves_pet,14,826.96936,797.031689453125,826.0279541015625,855.670947265625,25.939674
Balatonfelvidéki,heat_days_t35,14,10.892858,5.879999876022339,9.449999809265137,17.725000381469727,5.8568783
Balatonfelvidéki,huglin_index,14,2574.8328,2392.70283203125,2539.924072265625,2804.0802001953125,164.72997
Balatonfelvidéki,last_spring_frost_doy,14,62.423603,44.43444480895996,66.77631759643555,73.05499954223633,11.231997
Balatonfelvidéki,p_minus_pet,14,-362.11346,-414.56687622070314,-345.37709045410156,-299.791552734375,67.333534
Balatonfelvidéki,spring_frost_days,14,2.3857143,0.7300000071525574,2.4250000715255737,3.57000002861023,1.1338208
Balatonfelvidéki,winkler_gdd,14,2138.6235,1956.82998046875,2094.5089111328125,2394.8313720703127,180.82643
Balatonfüred-Csopaki,cool_night_index,14,15.707787,14.230850887298583,15.416402816772461,17.281402587890625,1.200849
Balatonfüred-Csopaki,extreme_heat_days_t38,14,3.8392856,0.9649999916553498,3.149999976158142,7.450000190734865,3.259966
Balatonfüred-Csopaki,growing_season_precip,14,404.8959,359.35669860839846,411.5432891845703,455.9939422607422,50.95358
Balatonfüred-Csopaki,hargreaves_pet,14,851.2352,812.0926391601563,850.6737670898438,876.7288940429687,29.543087
Balatonfüred-Csopaki,heat_days_t35,14,14.796428,6.434999942779541,13.975000381469727,22.52999973297119,7.628627
Balatonfüred-Csopaki,huglin_index,14,2713.6907,2448.7467529296873,2695.78271484375,2953.4647216796875,192.62831
Balatonfüred-Csopaki,last_spring_frost_doy,14,59.11723,48.60499954223633,62.0,68.38499984741212,8.365525
Balatonfüred-Csopaki,p_minus_pet,14,-446.33932,-495.21624450683595,-439.871826171875,-376.26161804199216,71.41467
Balatonfüred-Csopaki,spring_frost_days,14,1.6071428,0.4249999985098839,1.5499999523162842,2.750000095367432,0.85234004
Balatonfüred-Csopaki,winkler_gdd,14,2270.731,2001.6442504882812,2255.1383056640625,2544.3933593750003,207.90175
Bükki,cool_night_index,14,14.882631,13.79957332611084,14.470091819763184,16.345720672607424,1.0120279
Bükki,extreme_heat_days_t38,14,1.7857143,0.5650000154972077,1.300000011920929,4.3300001621246365,1.5493706
Bükki,growing_season_precip,14,435.06714,396.21702575683594,450.66087341308594,461.25904846191406,42.261086
Bükki,hargreaves_pet,14,819.4659,790.9648742675781,816.0000915527344,852.1669189453125,22.965818
Bükki,heat_days_t35,14,9.007143,4.585000038146973,7.125,15.809999465942386,4.8218994
Bükki,huglin_index,14,2536.5942,2380.2460693359376,2495.6148681640625,2777.4521484375,155.54953
Bükki,last_spring_frost_doy,14,71.49643,53.349999237060544,73.2249984741211,82.43499908447266,11.122249
Bükki,p_minus_pet,14,-384.39874,-449.3576202392578,-369.68849182128906,-331.8877471923828,61.210026
Bükki,spring_frost_days,14,4.3714285,1.3199999809265137,4.375,6.774999904632569,2.0304143
Bükki,winkler_gdd,14,2064.9968,1917.4294921875,1996.4153442382812,2329.887939453125,168.23143
Csongrádi,cool_night_index,14,15.640759,14.659718036651611,15.2628755569458,17.14361705780029,1.04018
Csongrádi,extreme_heat_days_t38,14,8.821428,4.540000057220459,8.050000190734863,14.445000076293947,4.289868
Csongrádi,growing_season_precip,14,371.18112,308.97214965820314,366.7253723144531,432.09361267089844,47.63317
Csongrádi,hargreaves_pet,14,938.2999,914.3308410644531,932.916259765625,971.4917785644532,23.63729
Csongrádi,heat_days_t35,14,25.178572,19.175000762939455,22.75,36.54500045776368,7.4765716
