variety,mean,p10,p50,p90,std
Zweigelt,0.9584078,0.8879411160945893,0.9773266911506653,0.9996434271335601,0.0487131
Kékfrankos,0.9584078,0.8879411160945893,0.9773266911506653,0.9996434271335601,0.0487131
Cabernet franc,0.9408457,0.8655637979507447,0.9673211872577667,0.9990635752677918,0.079930976
Albariño,0.9369001,0.8484967231750489,0.9673485457897186,0.9985130667686463,0.08334143
Cabernet Cortis,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
Olaszrizling,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
Portugieser,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
Bianca,0.93193144,0.8571507155895233,0.956771731376648,0.9963902533054352,0.07704573
Chardonnay,0.93020034,0.8456148266792297,0.956771731376648,0.9963902533054352,0.079537675
Aletta,0.91369945,0.7639451801776886,0.9504303336143494,0.9976419925689697,0.110464364
Cserszegi fűszeres,0.90250355,0.8082950592041016,0.9167394638061523,0.9939801037311554,0.08387185
Generosa,0.90250355,0.8082950592041016,0.9167394638061523,0.9939801037311554,0.08387185
Leányka,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
Budai zöld,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
Királyleányka,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
Szürkebarát,0.89293087,0.7679976284503938,0.9167394638061523,0.9939801037311554,0.10287375
Souvignier Gris,0.89293087,0.7679976284503938,0.9167394638061523,0.9939801037311554,0.10287375
Sauvignon blanc,0.89293087,0.7679976284503938,0.9167394638061523,0.9939801037311554,0.10287375
Zalagyöngye,0.88970786,0.7682865262031555,0.9111450612545013,0.9918093919754029,0.10277134
Zengő,0.88967866,0.6834899842739105,0.9500789046287537,0.9977037191390992,0.1426745
Zeus,0.8871044,0.7045359969139099,0.9398103356361389,0.9978390693664551,0.13698412
Auxerrois,0.8871044,0.7045359969139099,0.9398103356361389,0.9978390693664551,0.13698412
Vulcanus,0.8871044,0.7045359969139099,0.9398103356361389,0.9978390693664551,0.13698412
Nektár,0.8871044,0.7045359969139099,0.9398103356361389,0.9978390693664551,0.13698412
Zefír,0.8871044,0.7045359969139099,0.9398103356361389,0.9978390693664551,0.13698412
Blauburger,0.87227225,0.6640114903450012,0.9209240078926086,0.9947627782821655,0.14387211
Rózsakő,0.8616961,0.6790517091751098,0.8988718390464783,0.9910115003585815,0.13534436
Turán,0.85078293,0.646793669462204,0.8902880847454071,0.9799422323703766,0.14143057
Hárslevelű,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Kabar,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Kadarka,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Kövérszőlő,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Zenit,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Zéta,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Merlot,0.8441487,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18229742
Juhfark,0.8425921,0.58424072265625,0.9263001084327698,0.9986695528030396,0.18315361
Gamay,0.8425465,0.575152862071991,0.9264989197254181,0.9963984608650207,0.18283409
Sémillon,0.8425465,0.575152862071991,0.9264989197254181,0.9963984608650207,0.18283409
Furmint,0.8425465,0.575152862071991,0.9264989197254181,0.9963984608650207,0.18283409
Kövidinka,0.8425465,0.575152862071991,0.9264989197254181,0.9963984608650207,0.18283409
Arany sárfehér,0.8394433,0.5994499266147614,0.8921104967594147,0.9967795968055725,0.1769893
Kéknyelű,0.8384492,0.5928028464317322,0.894843578338623,0.9965696454048156,0.17963909
Sárgamuskotály,0.8352557,0.5735312342643738,0.9156461954116821,0.996824425458908,0.18409428
Cirfandli,0.82910603,0.5609984159469604,0.8921104967594147,0.9967795968055725,0.18610348
Kunleány,0.826078,0.55497185587883,0.900238960981369,0.9856556534767151,0.18154125
Ezerjó,0.81549263,0.5725070476531983,0.864751547574997,0.9890242874622345,0.1735379
Chasselas,0.80674785,0.6064773559570312,0.8504640161991119,0.9503653764724731,0.13626345
Vermentino,0.7985305,0.6079435169696807,0.6941829323768616,0.9971814095973969,0.17452998
Verdejo,0.7985305,0.6079435169696807,0.6941829323768616,0.9971814095973969,0.17452998
Sangiovese,0.7985305,0.6079435169696807,0.6941829323768616,0.9971814095973969,0.17452998
Zöld veltelíni,0.7695186,0.5579946458339692,0.8392920792102814,0.982570368051529,0.18311456
Pinot blanc,0.7695186,0.5579946458339692,0.8392920792102814,0.982570368051529,0.18311456
Tramini,0.7473994,0.439809113740921,0.8392920792102814,0.982570368051529,0.21917394
Rajnai rizling,0.7473994,0.439809113740921,0.8392920792102814,0.982570368051529,0.21917394
Muscat ottonel,0.7473994,0.439809113740921,0.8392920792102814,0.982570368051529,0.21917394
Pinot noir,0.7473994,0.439809113740921,0.8392920792102814,0.982570368051529,0.21917394
Rizlingszilváni,0.7455435,0.42631766498088836,0.8392920792102814,0.982570368051529,0.22199172
Irsai Olivér,0.7455435,0.42631766498088836,0.8392920792102814,0.982570368051529,0.22199172
Müller-Thurgau,0.7455435,0.42631766498088836,0.8392920792102814,0.982570368051529,0.22199172
Fiano,0.74243563,0.46707638800144197,0.6542912721633911,0.9669175267219544,0.19593991
Johanniter,0.7368111,0.42631766498088836,0.8288107514381409,0.9633076667785645,0.2150844
Muscaris,0.7368111,0.42631766498088836,0.8288107514381409,0.9633076667785645,0.2150844
Syrah,0.72793096,0.42193647027015685,0.6954992711544037,0.9869885206222534,0.22253066
Cabernet sauvignon,0.72793096,0.42193647027015685,0.6954992711544037,0.9869885206222534,0.22253066
Menoire,0.7211413,0.41760568618774413,0.6863672733306885,0.9749407589435578,0.22027922
Mészikadar,0.7211413,0.41760568618774413,0.6863672733306885,0.9749407589435578,0.22027922
Solaris,0.67686003,0.34140430092811586,0.8387424051761627,0.8984755039215088,0.2241665
Bronner,0.67686003,0.34140430092811586,0.8387424051761627,0.8984755039215088,0.2241665
Bíborkadarka,0.67161924,0.3527840137481689,0.6490994393825531,0.9265145778656007,0.22871593
Alibernet,0.6659353,0.3527840137481689,0.6467342376708984,0.9126931965351105,0.22410801
Malbec,0.61826956,0.2846927285194397,0.6391512155532837,0.9050605654716493,0.2426668
Tannat,0.6130129,0.28451123237609866,0.6383660733699799,0.8948516070842744,0.23856734
Assyrtiko,0.5665194,0.13543611019849777,0.5934967696666718,0.8725890755653382,0.28621757
Sagrantino,0.5208795,0.0974059782922268,0.5345627963542938,0.8570954442024231,0.28138232
Tempranillo,0.4680511,0.09029073417186738,0.4126308709383011,0.8418828606605531,0.28299356
Touriga Nacional,0.29920226,0.0,0.20044247806072235,0.7002291560173036,0.26847833
Aglianico,0.14091715,0.0,0.0,0.45356287658214567,0.19203724
Garnacha,0.10566174,0.0,0.0,0.3401721566915512,0.14404292
Carignan,0.10566174,0.0,0.0,0.3401721566915512,0.14404292
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
Mourvèdre,0.0,0.0,0.0,0.0,0.0
