variety,mean,p10,p50,p90,std
Solaris,0.9691504,0.915947675704956,0.987216055393219,0.9997953772544861,0.033821933
Bronner,0.9691504,0.915947675704956,0.987216055393219,0.9997953772544861,0.033821933
Johanniter,0.9527678,0.8797586560249329,0.9681540131568909,0.99696946144104,0.04630799
Muscaris,0.9527678,0.8797586560249329,0.9681540131568909,0.99696946144104,0.04630799
Zöld veltelíni,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Rajnai rizling,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Tramini,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Muscat ottonel,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Müller-Thurgau,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Pinot noir,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Pinot blanc,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Rizlingszilváni,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Irsai Olivér,0.9257195,0.8500336408615112,0.9243620932102203,0.9957822561264038,0.06054027
Generosa,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
Sauvignon blanc,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
Cserszegi fűszeres,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
Souvignier Gris,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
Szürkebarát,0.8453614,0.6706416606903076,0.8779403269290924,0.956675112247467,0.13106747
Bianca,0.8366943,0.6631695628166199,0.871877908706665,0.9617855548858643,0.12766668
Chardonnay,0.8366943,0.6631695628166199,0.871877908706665,0.9617855548858643,0.12766668
Zalagyöngye,0.7588453,0.47974443435668945,0.8433493375778198,0.9039479494094849,0.16448899
Chasselas,0.72343284,0.49107933044433594,0.7783305943012238,0.8839303851127625,0.17767617
Zweigelt,0.7123961,0.40626296401023865,0.642932265996933,0.9654592275619507,0.20472026
Kékfrankos,0.7123961,0.40626296401023865,0.642932265996933,0.9654592275619507,0.20472026
Leányka,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
Királyleányka,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
Budai zöld,0.66892636,0.3277451992034912,0.6412269175052643,0.9389165639877319,0.22855821
Portugieser,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
Cabernet Cortis,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
Olaszrizling,0.66222847,0.3277451992034912,0.6402477920055389,0.9201713800430298,0.22228527
Rózsakő,0.6529108,0.2768641412258148,0.7376278638839722,0.8407042026519775,0.2022582
Zeus,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
Nektár,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
Zefír,0.5839811,0.19096805155277252,0.6521979868412018,0.7711246609687805,0.22551546
