borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.33851677,0.0,0.22789184004068375,0.8403757214546206,0.33763552
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Assyrtiko,14,0.9206559,0.7455710411071778,1.0,1.0,0.18919545
Badacsonyi,Bianca,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Bronner,14,0.5923324,0.20128848105669023,0.6645405292510986,0.75,0.24254608
Badacsonyi,Budai zöld,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Cabernet Cortis,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Cabernet franc,14,0.9464286,0.75,1.0,1.0,0.10645383
Badacsonyi,Cabernet sauvignon,14,0.98214287,1.0,1.0,1.0,0.06681531
Badacsonyi,Carignan,14,0.30057397,0.0,0.17091888189315796,0.8403757214546206,0.33796573
Badacsonyi,Chardonnay,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Cirfandli,14,0.9267803,0.6633750200271606,1.0,1.0,0.14889236
Badacsonyi,Cserszegi fűszeres,14,0.9284739,0.6941649436950683,1.0,1.0,0.14490986
Badacsonyi,Ezerjó,14,0.9284739,0.6941649436950683,1.0,1.0,0.14490986
Badacsonyi,Fiano,14,0.97931653,1.0,1.0,1.0,0.07739059
Badacsonyi,Furmint,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Garnacha,14,0.30057397,0.0,0.17091888189315796,0.8403757214546206,0.33796573
Badacsonyi,Generosa,14,0.9284739,0.6941649436950683,1.0,1.0,0.14490986
Badacsonyi,Hárslevelű,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Irsai Olivér,14,0.65311474,0.25800722986459734,0.75,0.75,0.23338601
Badacsonyi,Johanniter,14,0.65311474,0.25800722986459734,0.75,0.75,0.23338601
Badacsonyi,Juhfark,14,0.9464286,0.75,1.0,1.0,0.10645383
Badacsonyi,Kabar,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kadarka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Királyleányka,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Kékfrankos,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Kéknyelű,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Kövérszőlő,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Leányka,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Merlot,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,0.65311474,0.25800722986459734,0.75,0.75,0.23338601
Badacsonyi,Muscat ottonel,14,0.6573573,0.26976513415575026,0.75,0.75,0.22797112
Badacsonyi,Müller-Thurgau,14,0.65311474,0.25800722986459734,0.75,0.75,0.23338601
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Olaszrizling,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Pinot blanc,14,0.67181635,0.3473783403635025,0.75,0.75,0.19747609
Badacsonyi,Pinot noir,14,0.6573573,0.26976513415575026,0.75,0.75,0.22797112
Badacsonyi,Portugieser,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Rajnai rizling,14,0.6573573,0.26976513415575026,0.75,0.75,0.22797112
Badacsonyi,Rizlingszilváni,14,0.65311474,0.25800722986459734,0.75,0.75,0.23338601
Badacsonyi,Sangiovese,14,0.98214287,1.0,1.0,1.0,0.06681531
Badacsonyi,Sauvignon blanc,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Solaris,14,0.5923324,0.20128848105669023,0.6645405292510986,0.75,0.24254608
Badacsonyi,Souvignier Gris,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Syrah,14,0.98214287,1.0,1.0,1.0,0.06681531
Badacsonyi,Szürkebarát,14,0.9145912,0.6158353805541992,1.0,1.0,0.1757644
Badacsonyi,Sárgamuskotály,14,0.9464286,0.75,1.0,1.0,0.10645383
Badacsonyi,Tempranillo,14,0.8136544,0.49704737961292267,0.8945584893226624,1.0,0.241204
Badacsonyi,Touriga Nacional,14,0.58290243,0.1637140318751335,0.561225175857544,1.0,0.32716635
Badacsonyi,Tramini,14,0.6573573,0.26976513415575026,0.75,0.75,0.22797112
Badacsonyi,Verdejo,14,0.98214287,1.0,1.0,1.0,0.06681531
Badacsonyi,Vermentino,14,0.98214287,1.0,1.0,1.0,0.06681531
Badacsonyi,Zweigelt,14,0.9425808,0.75,1.0,1.0,0.11475002
Badacsonyi,Zéta,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Zöld veltelíni,14,0.67181635,0.3473783403635025,0.75,0.75,0.19747609
Balatonboglári,Aglianico,14,0.8568372,0.599058985710144,0.927887350320816,1.0,0.18515044
Balatonboglári,Albariño,14,0.90144384,0.6179167181253433,1.0,1.0,0.25681856
Balatonboglári,Arany sárfehér,14,0.7321183,0.44645019173622136,0.75,1.0,0.24295054
Balatonboglári,Assyrtiko,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Bianca,14,0.7321183,0.44645019173622136,0.75,1.0,0.24295054
Balatonboglári,Bronner,14,0.25934225,0.02485069781541825,0.24111371487379074,0.5253528773784638,0.19393532
Balatonboglári,Budai zöld,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Cabernet Cortis,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Cabernet franc,14,0.75736535,0.5292180627584457,0.75,1.0,0.22387029
Balatonboglári,Cabernet sauvignon,14,0.92968553,0.7725000500679016,1.0,1.0,0.19038801
Balatonboglári,Carignan,14,0.8140968,0.4492942541837692,0.927887350320816,1.0,0.24805045
Balatonboglári,Chardonnay,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Cirfandli,14,0.68125945,0.21495036929845812,0.7470208704471588,1.0,0.31552583
Balatonboglári,Cserszegi fűszeres,14,0.6586563,0.2933137103915215,0.6660361886024475,1.0,0.28458855
Balatonboglári,Ezerjó,14,0.6586563,0.2933137103915215,0.6660361886024475,1.0,0.28458855
Balatonboglári,Fiano,14,0.94081634,0.7725000500679016,1.0,1.0,0.15446463
Balatonboglári,Furmint,14,0.9516637,0.8884375333786011,1.0,1.0,0.14150946
Balatonboglári,Garnacha,14,0.8140968,0.4492942541837692,0.927887350320816,1.0,0.24805045
Balatonboglári,Generosa,14,0.6586563,0.2933137103915215,0.6660361886024475,1.0,0.28458855
Balatonboglári,Hárslevelű,14,0.91874945,0.7139835596084595,1.0,1.0,0.20632684
Balatonboglári,Irsai Olivér,14,0.33264956,0.03924285918474198,0.3184574842453003,0.6503528773784638,0.23456185
Balatonboglári,Johanniter,14,0.33264956,0.03924285918474198,0.3184574842453003,0.6503528773784638,0.23456185
Balatonboglári,Juhfark,14,0.7398961,0.42572443485260014,0.75,1.0,0.2599169
Balatonboglári,Kabar,14,0.91874945,0.7139835596084595,1.0,1.0,0.20632684
Balatonboglári,Kadarka,14,0.91686344,0.7056240856647491,1.0,1.0,0.20974171
Balatonboglári,Királyleányka,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Kékfrankos,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Kéknyelű,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Kövérszőlő,14,0.91874945,0.7139835596084595,1.0,1.0,0.20632684
Balatonboglári,Leányka,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Merlot,14,0.91686344,0.7056240856647491,1.0,1.0,0.20974171
Balatonboglári,Mourvèdre,14,0.021301357,0.0,0.0,0.0,0.07970238
Balatonboglári,Muscaris,14,0.33264956,0.03924285918474198,0.3184574842453003,0.6503528773784638,0.23456185
Balatonboglári,Muscat ottonel,14,0.34796304,0.044351023435592656,0.33925819396972656,0.66458820104599,0.23619418
Balatonboglári,Müller-Thurgau,14,0.33264956,0.03924285918474198,0.3184574842453003,0.6503528773784638,0.23456185
Balatonboglári,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Balatonboglári,Olaszrizling,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Pinot blanc,14,0.380534,0.0926468100398779,0.36501237750053406,0.66458820104599,0.2220995
Balatonboglári,Pinot noir,14,0.34796304,0.044351023435592656,0.33925819396972656,0.66458820104599,0.23619418
Balatonboglári,Portugieser,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Rajnai rizling,14,0.34796304,0.044351023435592656,0.33925819396972656,0.66458820104599,0.23619418
Balatonboglári,Rizlingszilváni,14,0.33264956,0.03924285918474198,0.3184574842453003,0.6503528773784638,0.23456185
Balatonboglári,Sangiovese,14,0.9319515,0.7725000500679016,1.0,1.0,0.18287806
Balatonboglári,Sauvignon blanc,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Solaris,14,0.25934225,0.02485069781541825,0.24111371487379074,0.5253528773784638,0.19393532
Balatonboglári,Souvignier Gris,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Syrah,14,0.95072657,0.8884375333786011,1.0,1.0,0.14485818
Balatonboglári,Szürkebarát,14,0.62880707,0.1783610671758652,0.6546614170074463,1.0,0.3188847
Balatonboglári,Sárgamuskotály,14,0.7398961,0.42572443485260014,0.75,1.0,0.2599169
Balatonboglári,Tempranillo,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Touriga Nacional,14,0.9754952,0.9323923587799072,1.0,1.0,0.061309855
Balatonboglári,Tramini,14,0.34796304,0.044351023435592656,0.33925819396972656,0.66458820104599,0.23619418
Balatonboglári,Verdejo,14,0.94081634,0.7725000500679016,1.0,1.0,0.15446463
Balatonboglári,Vermentino,14,0.9319515,0.7725000500679016,1.0,1.0,0.18287806
Balatonboglári,Zweigelt,14,0.71761763,0.3595190674066544,0.75,1.0,0.27236483
Balatonboglári,Zéta,14,0.91874945,0.7139835596084595,1.0,1.0,0.20632684
Balatonboglári,Zöld veltelíni,14,0.380534,0.0926468100398779,0.36501237750053406,0.66458820104599,0.2220995
Balatonfelvidéki,Aglianico,14,0.51227325,0.1541036769747734,0.44591593742370605,0.9852495133876801,0.32359523
Balatonfelvidéki,Albariño,14,0.9809524,0.9183333694934845,1.0,1.0,0.04885752
Balatonfelvidéki,Arany sárfehér,14,0.91636413,0.7211123645305634,1.0,1.0,0.14033753
Balatonfelvidéki,Assyrtiko,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Bianca,14,0.91636413,0.7211123645305634,1.0,1.0,0.14033753
Balatonfelvidéki,Bronner,14,0.48975974,0.12826048135757448,0.5827815234661102,0.6922111213207245,0.23189735
Balatonfelvidéki,Budai zöld,14,0.86278355,0.4755325555801392,1.0,1.0,0.24310616
Balatonfelvidéki,Cabernet Cortis,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Cabernet franc,14,0.9269649,0.75,1.0,1.0,0.11995961
Balatonfelvidéki,Cabernet sauvignon,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Carignan,14,0.4512997,0.11557775884866714,0.33443695306777954,0.9852495133876801,0.3437344
Balatonfelvidéki,Chardonnay,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Cirfandli,14,0.88231355,0.5524341881275177,1.0,1.0,0.21358825
Balatonfelvidéki,Cserszegi fűszeres,14,0.88081187,0.5695809781551361,1.0,1.0,0.20419222
Balatonfelvidéki,Ezerjó,14,0.88081187,0.5695809781551361,1.0,1.0,0.20419222
Balatonfelvidéki,Fiano,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Furmint,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Garnacha,14,0.4512997,0.11557775884866714,0.33443695306777954,0.9852495133876801,0.3437344
Balatonfelvidéki,Generosa,14,0.88081187,0.5695809781551361,1.0,1.0,0.20419222
Balatonfelvidéki,Hárslevelű,14,0.9981257,1.0,1.0,1.0,0.007013076
Balatonfelvidéki,Irsai Olivér,14,0.57528025,0.169447124004364,0.7077815234661102,0.75,0.2522032
Balatonfelvidéki,Johanniter,14,0.57528025,0.169447124004364,0.7077815234661102,0.75,0.2522032
Balatonfelvidéki,Juhfark,14,0.9129201,0.6887500166893006,1.0,1.0,0.14633419
Balatonfelvidéki,Kabar,14,0.9981257,1.0,1.0,1.0,0.007013076
Balatonfelvidéki,Kadarka,14,0.9978579,1.0,1.0,1.0,0.008014946
Balatonfelvidéki,Királyleányka,14,0.86278355,0.4755325555801392,1.0,1.0,0.24310616
Balatonfelvidéki,Kékfrankos,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Kéknyelű,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Kövérszőlő,14,0.9981257,1.0,1.0,1.0,0.007013076
Balatonfelvidéki,Leányka,14,0.86278355,0.4755325555801392,1.0,1.0,0.24310616
Balatonfelvidéki,Merlot,14,0.9978579,1.0,1.0,1.0,0.008014946
Balatonfelvidéki,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Muscaris,14,0.57528025,0.169447124004364,0.7077815234661102,0.75,0.2522032
Balatonfelvidéki,Muscat ottonel,14,0.58228743,0.18037431985139848,0.7138127386569977,0.75,0.24783199
Balatonfelvidéki,Müller-Thurgau,14,0.57528025,0.169447124004364,0.7077815234661102,0.75,0.2522032
Balatonfelvidéki,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Olaszrizling,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Pinot blanc,14,0.6002274,0.2625931233167648,0.7138127386569977,0.75,0.2140181
Balatonfelvidéki,Pinot noir,14,0.58228743,0.18037431985139848,0.7138127386569977,0.75,0.24783199
Balatonfelvidéki,Portugieser,14,0.90381116,0.6632326185703278,1.0,1.0,0.16611965
Balatonfelvidéki,Rajnai rizling,14,0.58228743,0.18037431985139848,0.7138127386569977,0.75,0.24783199
Balatonfelvidéki,Rizlingszilváni,14,0.57528025,0.169447124004364,0.7077815234661102,0.75,0.2522032
Balatonfelvidéki,Sangiovese,14,1.0,1.0,1.0,1.0,0.0
