borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Assyrtiko,14,0.10866269,0.000459915166720748,0.07510583847761154,0.2683426260948182,0.12784015
Badacsonyi,Bianca,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Bronner,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet sauvignon,14,0.6949039,0.6459637761116028,0.7125000059604645,0.75,0.06641745
Badacsonyi,Carignan,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cirfandli,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Ezerjó,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Fiano,14,0.47249863,0.3351527750492096,0.45441214740276337,0.6433426260948182,0.12909378
Badacsonyi,Furmint,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Garnacha,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Generosa,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Hárslevelű,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Irsai Olivér,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Johanniter,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Juhfark,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Kabar,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Kadarka,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Kövérszőlő,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Leányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Merlot,14,0.9376623,0.8677272617816925,0.9568181931972504,1.0,0.0703824
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Muscat ottonel,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Müller-Thurgau,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
