borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,12.819275,11.954882526397705,12.701781749725342,13.912593841552734,0.771642
Badacsonyi,extreme_heat_days_t38,14,0.275,0.03000000044703484,0.22500000149011612,0.38500000238418586,0.3074398
Badacsonyi,growing_season_precip,14,470.7574,405.8467620849609,485.6655731201172,511.0707214355469,42.956364
Badacsonyi,hargreaves_pet,14,782.1254,766.6601989746093,774.9931030273438,803.0665222167969,17.220078
Badacsonyi,heat_days_t35,14,3.0357144,1.2950000166893005,2.850000023841858,4.775000095367433,1.5675101
Badacsonyi,huglin_index,14,2147.6587,2036.8763671875,2115.330322265625,2295.4730224609375,112.760895
Badacsonyi,last_spring_frost_doy,14,79.66429,72.90999984741211,80.0,86.4349983215332,7.5862584
Badacsonyi,p_minus_pet,14,-311.368,-377.034326171875,-307.13294982910156,-264.45220947265625,50.20194
Badacsonyi,spring_frost_days,14,7.1464286,5.565000104904175,7.450000047683716,9.15500020980835,1.9973507
Badacsonyi,winkler_gdd,14,1676.6803,1563.662841796875,1643.4756469726562,1831.4007568359375,117.483475
Balatonboglári,cool_night_index,14,13.115454,12.253711891174316,12.973790168762207,14.133788967132569,0.7512015
Balatonboglári,extreme_heat_days_t38,14,0.9071428,0.18500000052154067,0.875,1.1349999904632568,0.6618323
Balatonboglári,growing_season_precip,14,453.16315,399.4451477050781,453.6900634765625,496.59612426757815,39.798485
Balatonboglári,hargreaves_pet,14,838.4452,822.9346801757813,830.6226501464844,854.5744262695313,16.234741
Balatonboglári,heat_days_t35,14,6.053571,3.5049999713897706,5.6000001430511475,8.08000020980835,2.543201
Balatonboglári,huglin_index,14,2361.125,2247.411669921875,2329.4805908203125,2503.61884765625,105.46363
Balatonboglári,last_spring_frost_doy,14,74.10357,64.73500213623046,75.75,82.57000045776367,8.466279
Balatonboglári,p_minus_pet,14,-385.28198,-448.77935180664065,-379.0359191894531,-332.4759948730469,48.946507
Balatonboglári,spring_frost_days,14,5.4892855,3.884999942779541,5.7250001430511475,7.2050000667572025,1.9061822
Balatonboglári,winkler_gdd,14,1855.4314,1739.0940551757812,1824.1764526367188,2007.2071533203125,112.26119
Balatonfelvidéki,cool_night_index,14,13.186748,12.32743797302246,13.04863691329956,14.208933544158937,0.7312045
Balatonfelvidéki,extreme_heat_days_t38,14,0.41785714,0.08000000230967999,0.4000000059604645,0.5350000083446503,0.36564332
Balatonfelvidéki,growing_season_precip,14,469.79004,410.1396820068359,480.8577880859375,507.7738311767578,41.66181
Balatonfelvidéki,hargreaves_pet,14,789.46326,773.2505310058593,782.5381164550781,806.2477111816406,16.749643
Balatonfelvidéki,heat_days_t35,14,3.8535714,2.2550000667572023,3.524999976158142,5.534999990463258,1.7060372
Balatonfelvidéki,huglin_index,14,2219.862,2099.446923828125,2191.109619140625,2360.2514892578124,108.24185
Balatonfelvidéki,last_spring_frost_doy,14,74.05357,62.679999923706056,74.94999694824219,83.17000198364258,8.631505
Balatonfelvidéki,p_minus_pet,14,-319.67316,-388.81866149902345,-315.43426513671875,-266.3986785888672,51.23748
Balatonfelvidéki,spring_frost_days,14,5.457143,4.199999809265137,5.299999952316284,7.425000000000001,1.9211233
Balatonfelvidéki,winkler_gdd,14,1751.5519,1635.91015625,1724.7012939453125,1900.4575805664062,113.21241
Balatonfüred-Csopaki,cool_night_index,14,13.517504,12.652589416503906,13.385416984558105,14.66579294204712,0.7824976
Balatonfüred-Csopaki,extreme_heat_days_t38,14,0.75357145,0.19500000774860382,0.75,1.0,0.5379678
Balatonfüred-Csopaki,growing_season_precip,14,409.5935,352.325390625,420.6630554199219,447.31504821777344,40.335438
Balatonfüred-Csopaki,hargreaves_pet,14,811.15027,796.6450439453125,804.1311950683594,833.2892578125,17.999573
Balatonfüred-Csopaki,heat_days_t35,14,5.5642858,2.7700000286102293,5.0,8.320000267028812,2.6057205
Balatonfüred-Csopaki,huglin_index,14,2361.7192,2261.5627685546874,2334.9278564453125,2519.5663818359376,117.815994
Balatonfüred-Csopaki,last_spring_frost_doy,14,69.41428,58.589999771118165,70.72500228881836,79.40499801635742,7.803215
Balatonfüred-Csopaki,p_minus_pet,14,-401.55673,-457.5569305419922,-397.8796081542969,-355.5107147216797,47.6987
Balatonfüred-Csopaki,spring_frost_days,14,4.053571,2.740000081062317,3.774999976158142,5.959999990463258,1.5561867
Balatonfüred-Csopaki,winkler_gdd,14,1887.1412,1781.5497436523438,1859.5088500976562,2054.0813598632812,123.410835
Bükki,cool_night_index,14,12.575068,11.818220520019532,12.399641513824463,13.62456750869751,0.7486745
Bükki,extreme_heat_days_t38,14,0.16785716,0.0,0.10000000149011612,0.3700000077486039,0.17824696
Bükki,growing_season_precip,14,437.7048,406.5438995361328,442.2195587158203,485.5280212402344,39.00522
Bükki,hargreaves_pet,14,783.75934,765.66337890625,781.167724609375,805.1223022460938,17.396976
Bükki,heat_days_t35,14,2.8392856,1.5550000190734863,2.575000047683716,4.834999942779541,1.3279797
Bükki,huglin_index,14,2183.2017,2058.833251953125,2161.1298828125,2339.6603759765626,112.359085
Bükki,last_spring_frost_doy,14,83.4,73.31500091552735,86.625,91.09500122070312,8.55943
Bükki,p_minus_pet,14,-346.05453,-381.3382843017578,-346.9665985107422,-292.1495666503906,50.087116
Bükki,spring_frost_days,14,9.310715,7.5299999713897705,8.900000095367432,12.014999675750733,2.4720888
Bükki,winkler_gdd,14,1682.4558,1569.15078125,1661.1026611328125,1852.4307373046877,114.06634
Csongrádi,cool_night_index,14,13.296011,12.33730764389038,13.177832126617432,14.38725643157959,0.7939208
Csongrádi,extreme_heat_days_t38,14,2.5785713,1.3500000476837157,2.1750000715255737,3.9399999856948855,1.2763702
Csongrádi,growing_season_precip,14,380.00418,330.4369232177734,380.6368408203125,431.7671661376953,39.06959
Csongrádi,hargreaves_pet,14,895.5576,874.5306518554687,891.6903381347656,914.9323974609375,19.183062
Csongrádi,heat_days_t35,14,12.032143,7.725,11.425000190734863,16.8,3.7891853
Csongrádi,huglin_index,14,2543.8208,2401.2068603515627,2523.4969482421875,2707.65498046875,118.36765
Csongrádi,last_spring_frost_doy,14,80.417854,72.71999893188476,79.75,86.55499801635742,5.6426463
Csongrádi,p_minus_pet,14,-515.5534,-575.8079467773438,-520.3168487548828,-448.70667419433596,52.646523
Csongrádi,spring_frost_days,14,7.3142858,5.3649999618530275,7.300000190734863,9.559999752044678,1.7137934
Csongrádi,winkler_gdd,14,1996.7195,1859.2802490234376,1984.1575317382812,2170.649560546875,122.24142
Egri,cool_night_index,14,12.628782,11.846145725250244,12.41088342666626,13.754239654541015,0.78018236
Egri,extreme_heat_days_t38,14,0.49642855,0.1650000050663948,0.375,1.1599999964237218,0.41438755
Egri,growing_season_precip,14,405.47006,373.36371459960935,408.72357177734375,446.06308898925784,35.05557
Egri,hargreaves_pet,14,825.6657,806.0120300292969,823.5764770507812,845.6383911132813,17.891392
Egri,heat_days_t35,14,4.8821425,2.775000047683716,4.375,8.069999837875368,2.1495624
Egri,huglin_index,14,2289.78,2161.720263671875,2262.5792236328125,2444.54833984375,114.08183
Egri,last_spring_frost_doy,14,85.27857,79.44500045776367,87.0250015258789,90.38000259399415,5.494813
Egri,p_minus_pet,14,-420.1957,-459.90911865234375,-422.45111083984375,-374.67205200195315,46.662727
Egri,spring_frost_days,14,9.271429,7.729999923706055,9.025000095367432,11.510000324249267,1.9618196
Egri,winkler_gdd,14,1752.8021,1638.8105834960938,1731.1768798828125,1923.1277465820312,116.45424
Etyek-Budai,cool_night_index,14,13.017167,12.102399635314942,12.822295665740967,14.148597812652588,0.7698642
Etyek-Budai,extreme_heat_days_t38,14,1.0214286,0.2749999985098839,0.875,1.875000047683716,0.6506548
Etyek-Budai,growing_season_precip,14,378.05533,338.1327392578125,384.6288146972656,416.3491577148438,32.132755
Etyek-Budai,hargreaves_pet,14,834.8132,816.8755676269532,828.1387329101562,852.9830688476562,18.04852
Etyek-Budai,heat_days_t35,14,6.539286,3.6000000476837157,6.0,9.575000381469728,2.7237687
Etyek-Budai,huglin_index,14,2356.1248,2232.3678466796873,2339.5059814453125,2517.1609130859374,114.95879
Etyek-Budai,last_spring_frost_doy,14,78.01072,71.16500091552734,80.27499771118164,86.41999740600586,9.393168
Etyek-Budai,p_minus_pet,14,-456.75787,-503.6083984375,-456.6619415283203,-405.3754089355469,44.276123
Etyek-Budai,spring_frost_days,14,6.7035713,4.8799999237060545,6.474999904632568,8.650000190734865,2.1086328
Etyek-Budai,winkler_gdd,14,1833.6998,1720.4698120117187,1818.2235717773438,2000.93955078125,118.5041
Hajós-Bajai,cool_night_index,14,12.829043,11.89397497177124,12.645260334014893,13.974583148956299,0.8223606
Hajós-Bajai,extreme_heat_days_t38,14,2.482143,1.1149999916553497,2.149999976158142,3.3849999666213995,1.403376
Hajós-Bajai,growing_season_precip,14,414.21344,368.9530426025391,424.4041442871094,449.63487854003904,37.050507
Hajós-Bajai,hargreaves_pet,14,904.5673,884.4539306640625,898.1552124023438,924.6330688476562,19.143452
Hajós-Bajai,heat_days_t35,14,11.528571,7.315000057220459,11.125,15.674999523162843,3.7154412
Hajós-Bajai,huglin_index,14,2499.067,2358.130859375,2478.8731689453125,2652.757080078125,117.82422
Hajós-Bajai,last_spring_frost_doy,14,84.167854,77.28499832153321,84.5,89.2099998474121,5.1020966
Hajós-Bajai,p_minus_pet,14,-490.35385,-549.5705139160157,-485.7516174316406,-439.9347290039062,50.937878
Hajós-Bajai,spring_frost_days,14,8.357142,6.765000057220459,8.249999761581421,10.279999732971191,1.7206726
Hajós-Bajai,winkler_gdd,14,1933.0878,1791.4099731445312,1918.710205078125,2100.5995849609376,122.56101
Kunsági,cool_night_index,14,12.9031725,11.957268238067627,12.727227210998535,13.982632064819336,0.7905574
Kunsági,extreme_heat_days_t38,14,2.0071428,0.7050000131130219,1.9000000357627869,2.9899999380111697,1.1235002
Kunsági,growing_season_precip,14,380.49515,341.0441192626953,385.1413116455078,418.0811248779297,31.480598
Kunsági,hargreaves_pet,14,882.53723,860.673828125,877.8116760253906,901.7301025390625,19.080608
Kunsági,heat_days_t35,14,9.849999,6.195000123977661,9.25,14.030000209808351,3.359659
Kunsági,huglin_index,14,2473.7522,2327.468310546875,2455.19873046875,2635.7160888671874,118.209206
Kunsági,last_spring_frost_doy,14,81.22857,75.05499877929688,80.6500015258789,86.12000122070313,5.3340244
Kunsági,p_minus_pet,14,-502.04214,-550.0768310546875,-501.1443176269531,-446.9412048339844,44.179085
Kunsági,spring_frost_days,14,7.7607145,5.994999837875366,7.75,9.845000267028809,1.7586248
Kunsági,winkler_gdd,14,1916.3489,1782.90498046875,1903.9927368164062,2086.1638427734374,121.70359
Mátrai,cool_night_index,14,12.420743,11.621563720703126,12.209543704986572,13.546379375457764,0.7705924
Mátrai,extreme_heat_days_t38,14,0.5392857,0.10000000149011612,0.375,1.2799999833106999,0.48878914
Mátrai,growing_season_precip,14,394.65994,365.09169616699216,404.4397430419922,430.0927703857422,31.161928
Mátrai,hargreaves_pet,14,836.0524,817.4996215820313,832.8245544433594,854.9280456542969,17.9122
Mátrai,heat_days_t35,14,5.0499997,2.7149999380111693,4.5,8.279999971389774,2.2535443
Mátrai,huglin_index,14,2269.193,2144.7223388671873,2244.3017578125,2424.60576171875,112.688705
Mátrai,last_spring_frost_doy,14,90.057144,81.32000198364258,92.07500076293945,96.44999847412109,6.3260098
Mátrai,p_minus_pet,14,-441.39252,-477.7670837402344,-447.5350341796875,-399.04035034179685,41.555435
Mátrai,spring_frost_days,14,11.303572,8.799999618530274,11.199999809265137,13.844999980926515,2.2755783
Mátrai,winkler_gdd,14,1716.3273,1606.077734375,1693.9326171875,1881.4593017578127,114.83374
Móri,cool_night_index,14,12.749117,11.86138038635254,12.59869384765625,13.821697998046876,0.74157584
Móri,extreme_heat_days_t38,14,0.31071427,0.06500000096857547,0.30000001192092896,0.5700000166893007,0.25052142
Móri,growing_season_precip,14,416.69205,376.5195770263672,422.0791473388672,454.7699310302735,34.082294
Móri,hargreaves_pet,14,787.33307,770.5240783691406,780.6216735839844,805.1196166992188,17.680624
Móri,heat_days_t35,14,3.3535714,1.7800000071525575,2.899999976158142,5.344999933242799,1.5648131
Móri,huglin_index,14,2149.3901,2034.8739624023438,2126.83349609375,2301.3536376953125,111.421555
Móri,last_spring_frost_doy,14,83.25714,73.67500305175781,85.79999923706055,92.4749969482422,9.258402
Móri,p_minus_pet,14,-370.64105,-419.0256378173828,-369.7816467285156,-319.5500122070312,45.655212
Móri,spring_frost_days,14,8.175,6.539999866485596,8.350000381469727,10.0,2.3608792
Móri,winkler_gdd,14,1662.4955,1558.5216430664063,1647.1856079101562,1818.6264892578126,113.73766
Nagy-Somlói,cool_night_index,14,12.786575,11.9086012840271,12.687848567962646,13.732889175415039,0.70206946
Nagy-Somlói,extreme_heat_days_t38,14,0.9714286,0.3799999922513962,0.9749999940395355,1.6000000000000005,0.6591703
Nagy-Somlói,growing_season_precip,14,445.5871,382.92412109375,449.81463623046875,482.8860565185547,44.19005
Nagy-Somlói,hargreaves_pet,14,832.8903,815.4484069824218,824.3525390625,851.0466735839843,17.44746
Nagy-Somlói,heat_days_t35,14,5.7785716,3.799999952316284,5.450000047683716,7.834999942779541,2.1775706
Nagy-Somlói,huglin_index,14,2292.944,2176.278076171875,2266.09326171875,2429.3943603515627,107.621574
Nagy-Somlói,last_spring_frost_doy,14,78.23214,68.83999938964844,80.72500228881836,87.7400016784668,8.724493
Nagy-Somlói,p_minus_pet,14,-387.30328,-462.3758270263672,-385.00086975097656,-332.81886901855466,56.62766
Nagy-Somlói,spring_frost_days,14,6.5214286,4.87000002861023,6.924999952316284,8.720000076293946,2.1243744
Nagy-Somlói,winkler_gdd,14,1769.9363,1661.8193359375,1756.7305297851562,1916.9197509765627,112.13149
Neszmélyi,cool_night_index,14,12.233671,11.298163890838623,12.048255920410156,13.294548511505127,0.7676455
Neszmélyi,extreme_heat_days_t38,14,0.5964286,0.20000000298023224,0.4749999940395355,1.2150000095367437,0.46676642
Neszmélyi,growing_season_precip,14,402.7017,353.142041015625,405.2794189453125,446.5445495605469,38.898094
Neszmélyi,hargreaves_pet,14,827.8522,810.2666137695312,819.8366394042969,846.7878051757813,17.899784
Neszmélyi,heat_days_t35,14,4.982143,2.9450000524520874,4.400000095367432,7.959999942779543,2.113292
Neszmélyi,huglin_index,14,2238.6694,2123.79091796875,2217.1844482421875,2395.7615478515627,113.03746
Neszmélyi,last_spring_frost_doy,14,86.22143,76.81499938964843,87.6500015258789,94.40499801635742,7.505606
Neszmélyi,p_minus_pet,14,-425.15045,-482.46893005371095,-421.98431396484375,-371.78554077148436,51.023705
Neszmélyi,spring_frost_days,14,8.821428,6.6250001907348635,8.974999904632568,11.11999979019165,2.3020654
Neszmélyi,winkler_gdd,14,1697.8789,1592.576318359375,1681.2341918945312,1858.5990722656252,115.78164
Pannonhalmi,cool_night_index,14,12.660102,11.762837600708007,12.512335300445557,13.609400081634522,0.7256147
Pannonhalmi,extreme_heat_days_t38,14,1.0107143,0.3300000101327896,1.0250000059604645,1.5700000166893007,0.5910156
Pannonhalmi,growing_season_precip,14,401.26797,347.2050018310547,406.2095642089844,439.67836608886716,41.339878
Pannonhalmi,hargreaves_pet,14,830.84283,813.9449279785156,821.5337829589844,850.8025268554687,17.765842
Pannonhalmi,heat_days_t35,14,5.8678575,3.7300000190734863,5.25,8.569999790191652,2.3139715
