borvidek,variety,n_members,mean,p10,p50,p90,std
Balatonboglári,Cabernet sauvignon,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Carignan,14,0.11115637,0.03835162445902825,0.09423736855387688,0.21493151783943182,0.07033685
Balatonboglári,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Cirfandli,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Ezerjó,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Fiano,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Furmint,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Garnacha,14,0.11115637,0.03835162445902825,0.09423736855387688,0.21493151783943182,0.07033685
Balatonboglári,Generosa,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Hárslevelű,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Irsai Olivér,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Johanniter,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Juhfark,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Kabar,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Kadarka,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Kéknyelű,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Kövérszőlő,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Leányka,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Merlot,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Balatonboglári,Muscaris,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Muscat ottonel,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Müller-Thurgau,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Balatonboglári,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Pinot blanc,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Pinot noir,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Rajnai rizling,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Rizlingszilváni,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Sangiovese,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Solaris,14,0.6944075,0.6425342321395874,0.7028813064098358,0.7308241844177246,0.035144918
Balatonboglári,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Syrah,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Sárgamuskotály,14,0.9928571,1.0,1.0,1.0,0.02672613
Balatonboglári,Tempranillo,14,0.81011325,0.7178021788597106,0.7923164963722229,0.9532420098781587,0.10287585
Balatonboglári,Touriga Nacional,14,0.47916088,0.38446882367134094,0.4589831531047821,0.6199086964130402,0.09803026
Balatonboglári,Tramini,14,0.75,0.75,0.75,0.75,0.0
Balatonboglári,Verdejo,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Vermentino,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Zéta,14,0.9928571,1.0,1.0,1.0,0.02672613
