variety,mean,p10,p50,p90,std
Aletta,0.9632256,0.9073845982551575,0.9794470369815826,0.9994141459465027,0.046944294
Zengő,0.95330065,0.885170179605484,0.9760555922985077,0.9989559829235077,0.063169725
Blauburger,0.95025516,0.8788947641849518,0.9748494923114777,0.9989717423915863,0.065255575
Albariño,0.94467354,0.8821268439292907,0.9776335954666138,0.998986941576004,0.0975853
Kövidinka,0.94405025,0.8677144229412079,0.9719671308994293,0.9988089442253113,0.07942163
Furmint,0.9425994,0.8598412275314331,0.9719671308994293,0.9988089442253113,0.08163951
Kunleány,0.9415525,0.8588885724544525,0.9698991477489471,0.998841518163681,0.08307767
Sémillon,0.9406282,0.8515129804611207,0.9719671308994293,0.9988089442253113,0.08522044
Gamay,0.9406282,0.8515129804611207,0.9719671308994293,0.9988089442253113,0.08522044
Turán,0.9376611,0.8651162326335907,0.9539027512073517,0.9980477511882782,0.07119383
Zenit,0.92973584,0.8492917776107788,0.9610226154327393,0.998595941066742,0.086841576
Hárslevelű,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
Zéta,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
Kabar,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
Kövérszőlő,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
Kadarka,0.92698264,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093254715
Merlot,0.92698264,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093254715
Cabernet franc,0.91571796,0.6696197926998139,0.9685782194137573,0.9986475229263305,0.1285624
Vermentino,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
Verdejo,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
Sangiovese,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
Juhfark,0.88897854,0.6556822478771209,0.9610226154327393,0.998595941066742,0.15873373
Mészikadar,0.88847023,0.6434907197952271,0.9629494249820709,0.9981381297111511,0.15439367
Syrah,0.88704544,0.645278400182724,0.9621173441410065,0.9986823499202728,0.15283194
Sárgamuskotály,0.8869358,0.6556098163127899,0.9542827904224396,0.9991871476173401,0.15880235
Menoire,0.88483775,0.6434907197952271,0.9629494249820709,0.9981381297111511,0.15519165
Kékfrankos,0.8836031,0.6381158947944641,0.9392510056495667,0.9973683297634125,0.16010737
Zweigelt,0.8836031,0.6381158947944641,0.9392510056495667,0.9973683297634125,0.16010737
Bianca,0.8823269,0.6386822283267974,0.925858199596405,0.9955124497413635,0.13749039
Cabernet sauvignon,0.8822101,0.6414555549621582,0.9621173441410065,0.9986823499202728,0.15633738
Portugieser,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
Olaszrizling,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
Cabernet Cortis,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
Auxerrois,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
Nektár,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
Vulcanus,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
Zefír,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
Zeus,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
Chardonnay,0.87475777,0.6379717469215394,0.925858199596405,0.9955124497413635,0.15740177
Arany sárfehér,0.8709457,0.6377311587333679,0.9173820614814758,0.9945181310176849,0.14541852
Kéknyelű,0.86613196,0.6348138928413392,0.9235181212425232,0.9952241539955139,0.1652444
Fiano,0.8579625,0.6381493210792542,0.9140700697898865,0.9949950516223908,0.16242282
Bíborkadarka,0.8518153,0.5883759498596192,0.9164486825466156,0.9947697997093201,0.17852439
Cirfandli,0.84519076,0.5721605837345124,0.9173820614814758,0.9945181310176849,0.20007378
Alibernet,0.8447657,0.5883259534835815,0.904554545879364,0.9912845730781555,0.17573921
Zalagyöngye,0.84004974,0.5696832835674286,0.878302663564682,0.986508309841156,0.16210268
Generosa,0.83509725,0.5614478528499603,0.8797816038131714,0.9811356842517853,0.17031632
Cserszegi fűszeres,0.83509725,0.5614478528499603,0.8797816038131714,0.9811356842517853,0.17031632
Malbec,0.8339371,0.5258762121200562,0.9095548093318939,0.9943369805812836,0.19317216
Rózsakő,0.8315328,0.5467002809047699,0.8786760866641998,0.9893614947795868,0.17913555
Tannat,0.8267511,0.5256898581981659,0.8991080820560455,0.9890675485134125,0.1902211
Leányka,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
Budai zöld,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
Királyleányka,0.82621604,0.5105462312698364,0.8884982466697693,0.9920845687389374,0.20633541
Ezerjó,0.82395214,0.5596716403961182,0.8714852929115295,0.9829322338104248,0.1749566
Szürkebarát,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
Sauvignon blanc,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
Souvignier Gris,0.81918025,0.5105462312698364,0.8797816038131714,0.9811356842517853,0.20261772
Assyrtiko,0.7757811,0.3778253942728043,0.8662671446800232,0.9707383215427399,0.24577327
Chasselas,0.76547265,0.47037641406059266,0.8357364535331726,0.9349303901195526,0.1831784
Sagrantino,0.7551347,0.3363378345966339,0.8596822321414948,0.9510135293006897,0.24797651
Tempranillo,0.6881411,0.25188360065221793,0.8087776303291321,0.9320295810699463,0.2689637
Zöld veltelíni,0.6176676,0.2917848408222199,0.6375379264354706,0.9466764867305756,0.22623706
Pinot blanc,0.6176676,0.2917848408222199,0.6375379264354706,0.9466764867305756,0.22623706
Muscat ottonel,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
Rajnai rizling,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
Pinot noir,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
Tramini,0.59062475,0.19691520780324936,0.6375109553337097,0.9466764867305756,0.25684077
Müller-Thurgau,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
Rizlingszilváni,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
Irsai Olivér,0.58595735,0.18472724556922912,0.6375109553337097,0.9466764867305756,0.2601879
Johanniter,0.5817019,0.18472724556922912,0.6375080645084381,0.9270188510417938,0.2553365
Muscaris,0.5817019,0.18472724556922912,0.6375080645084381,0.9270188510417938,0.2553365
Touriga Nacional,0.52279055,0.04459950998425484,0.5397596955299377,0.8710099756717682,0.30806488
Bronner,0.5155923,0.1375061348080635,0.5327981114387512,0.8676433086395263,0.25215328
Solaris,0.5155923,0.1375061348080635,0.5327981114387512,0.8676433086395263,0.25215328
Aglianico,0.32980826,0.0,0.2645306885242462,0.8087992846965791,0.298343
Garnacha,0.27635452,0.0,0.19839800894260406,0.7776520371437077,0.2768671
Carignan,0.27635452,0.0,0.19839800894260406,0.7776520371437077,0.2768671
Mourvèdre,0.0,0.0,0.0,0.0,0.0
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
