borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.0029216656,0.0,0.0,0.0,0.010931872
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Assyrtiko,14,0.45007667,0.13786774650216102,0.399944007396698,0.8360134422779084,0.3031302
Badacsonyi,Bianca,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Bronner,14,0.9274758,0.75,1.0,1.0,0.11905655
Badacsonyi,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet sauvignon,14,0.7816583,0.6064877331256866,0.75,1.0,0.15618268
Badacsonyi,Carignan,14,0.0021912493,0.0,0.0,0.0,0.008198904
Badacsonyi,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cirfandli,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Ezerjó,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Fiano,14,0.7333579,0.5329041063785553,0.7240557968616486,1.0,0.21616347
Badacsonyi,Furmint,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Garnacha,14,0.0021912493,0.0,0.0,0.0,0.008198904
Badacsonyi,Generosa,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Hárslevelű,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Irsai Olivér,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Johanniter,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Juhfark,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Kabar,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Kadarka,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Kövérszőlő,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Leányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Merlot,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Muscat ottonel,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Müller-Thurgau,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Pinot blanc,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Pinot noir,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Rajnai rizling,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Rizlingszilváni,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Sangiovese,14,0.81282717,0.75,0.75,1.0,0.1268674
Badacsonyi,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Solaris,14,0.9274758,0.75,1.0,1.0,0.11905655
Badacsonyi,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Syrah,14,0.7816583,0.6064877331256866,0.75,1.0,0.15618268
Badacsonyi,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Sárgamuskotály,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Tempranillo,14,0.3029728,0.09191182777285575,0.26662933081388474,0.5573423087596894,0.20800392
Badacsonyi,Touriga Nacional,14,0.08881675,0.0,0.04084594547748566,0.22400895059108739,0.11565611
Badacsonyi,Tramini,14,0.9285714,0.75,1.0,1.0,0.117201805
Badacsonyi,Verdejo,14,0.81282717,0.75,0.75,1.0,0.1268674
Badacsonyi,Vermentino,14,0.81282717,0.75,0.75,1.0,0.1268674
Badacsonyi,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Zéta,14,0.95844156,0.8159091055393219,1.0,1.0,0.08516572
Badacsonyi,Zöld veltelíni,14,0.9285714,0.75,1.0,1.0,0.117201805
