variety,mean,p10,p50,p90,std
Tannat,0.9444118,0.8831286311149598,0.9704465866088867,0.9989023089408875,0.08043083
Malbec,0.9437582,0.8819719851016998,0.9695167541503906,0.9987166881561279,0.083398595
Alibernet,0.9416813,0.8826360464096069,0.9704465866088867,0.9989501416683197,0.09295457
Assyrtiko,0.93329394,0.8604089975357055,0.9486123025417328,0.9982015907764434,0.07118722
Bíborkadarka,0.9329201,0.8714585781097413,0.9695167541503906,0.9987166881561279,0.12125331
Mészikadar,0.9307773,0.8654791831970214,0.9695290923118591,0.9987977802753448,0.1271669
Turán,0.92808276,0.8607033014297486,0.9782730340957642,0.999493145942688,0.15177393
Kunleány,0.9264091,0.8637680411338806,0.9704442024230957,0.9993132948875427,0.12633137
Sagrantino,0.9214554,0.8536714255809784,0.9368143081665039,0.9970637738704682,0.08293867
Aletta,0.9168333,0.8507238268852234,0.9711270928382874,0.9994880020618438,0.15683801
Blauburger,0.9069654,0.739977240562439,0.9714581668376923,0.9993132948875427,0.18372376
Menoire,0.90639275,0.734924703836441,0.9695290923118591,0.9987977802753448,0.18022995
Verdejo,0.8940606,0.6703291475772858,0.9739024341106415,0.9987977802753448,0.20229976
Fiano,0.89381754,0.708281296491623,0.962017685174942,0.9987166881561279,0.19610398
Tempranillo,0.8930993,0.7705754339694977,0.9099484384059906,0.9951670646667481,0.10899408
Kövidinka,0.8930163,0.8110054969787599,0.9444858431816101,0.9970650732517242,0.16451018
Syrah,0.88663936,0.6998732089996339,0.950644314289093,0.9991214454174042,0.19096877
Sangiovese,0.8855595,0.6511200249195099,0.9739024341106415,0.9987977802753448,0.21752691
Vermentino,0.8855595,0.6511200249195099,0.9739024341106415,0.9987977802753448,0.21752691
Zengő,0.88402367,0.7152329564094544,0.9449846148490906,0.9973142564296722,0.18825641
Furmint,0.88349015,0.7152329564094544,0.9444858431816101,0.9970650732517242,0.18640596
Gamay,0.87436163,0.6493437051773071,0.9444858431816101,0.9970650732517242,0.202236
Sémillon,0.87436163,0.6493437051773071,0.9444858431816101,0.9970650732517242,0.202236
Cabernet sauvignon,0.8667995,0.6283132195472717,0.950644314289093,0.9991214454174042,0.22110188
Zenit,0.84206885,0.5967037439346313,0.8987800478935242,0.9916034936904907,0.20691074
