borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,12.426047,11.800465106964111,12.331282138824463,13.137445068359375,0.5909327
Badacsonyi,extreme_heat_days_t38,14,0.275,0.0,0.22500000149011612,0.6599999964237216,0.26293463
Badacsonyi,growing_season_precip,14,491.0577,440.08864135742186,488.5119171142578,541.2355224609375,44.741028
Badacsonyi,hargreaves_pet,14,784.14,756.2909423828125,784.0497436523438,809.7174499511718,21.057318
Badacsonyi,heat_days_t35,14,3.0642858,0.9400000095367431,3.125,5.375000095367433,1.858083
Badacsonyi,huglin_index,14,2120.2603,1975.0908325195312,2124.9442138671875,2272.41279296875,123.76061
Badacsonyi,last_spring_frost_doy,14,81.48928,73.25,81.6500015258789,91.0499984741211,7.430788
Badacsonyi,p_minus_pet,14,-293.08228,-354.3926696777344,-298.19334411621094,-219.80527648925778,61.53611
Badacsonyi,spring_frost_days,14,7.7714286,5.915000057220459,8.074999809265137,9.805000114440919,1.9688648
Badacsonyi,winkler_gdd,14,1657.0491,1531.8041015625,1656.4996337890625,1805.3151611328126,114.23051
Balatonboglári,cool_night_index,14,12.727972,12.057784080505371,12.650547981262207,13.447710609436035,0.5795547
Balatonboglári,extreme_heat_days_t38,14,0.89285713,0.18000000417232515,0.675000011920929,1.7399999737739564,0.71893543
Balatonboglári,growing_season_precip,14,469.65668,430.551123046875,471.57957458496094,506.59998168945316,34.33293
Balatonboglári,hargreaves_pet,14,839.61383,809.5954528808594,841.9549560546875,866.1439331054687,22.729359
Balatonboglári,heat_days_t35,14,6.6749997,3.259999966621399,6.25,10.609999847412112,3.1671238
Balatonboglári,huglin_index,14,2333.3596,2188.1134033203125,2349.482421875,2485.701806640625,125.04972
Balatonboglári,last_spring_frost_doy,14,77.025,69.375,77.70000076293945,84.8749984741211,8.287751
Balatonboglári,p_minus_pet,14,-369.9572,-422.26392822265626,-382.68251037597656,-299.3636077880859,52.68166
Balatonboglári,spring_frost_days,14,6.0499997,4.494999837875366,6.224999904632568,8.05500020980835,1.8234583
Balatonboglári,winkler_gdd,14,1837.1932,1714.5972900390625,1847.9248657226562,1981.464013671875,114.395935
Balatonfelvidéki,cool_night_index,14,12.795998,12.133529472351075,12.74293565750122,13.492018127441407,0.5993081
Balatonfelvidéki,extreme_heat_days_t38,14,0.46785712,0.01500000022351742,0.42499999701976776,0.9699999928474428,0.40743434
Balatonfelvidéki,growing_season_precip,14,487.08932,434.06170654296875,495.60186767578125,526.2268676757812,38.618664
Balatonfelvidéki,hargreaves_pet,14,790.7617,763.9056091308594,793.5993957519531,817.5558715820313,23.195099
Balatonfelvidéki,heat_days_t35,14,4.0642858,1.3950000166893006,4.375,7.039999866485598,2.184599
Balatonfelvidéki,huglin_index,14,2191.5598,2039.739697265625,2212.107666015625,2341.6444580078123,127.018394
Balatonfelvidéki,last_spring_frost_doy,14,77.6,69.0999984741211,77.375,86.46000213623047,8.743679
Balatonfelvidéki,p_minus_pet,14,-303.67242,-370.3166839599609,-305.0092315673828,-235.34124450683592,56.66042
Balatonfelvidéki,spring_frost_days,14,6.0642858,4.4,6.125,7.900000095367432,1.7437172
Balatonfelvidéki,winkler_gdd,14,1731.777,1600.9515502929687,1744.6123046875,1880.4216674804688,117.44198
Balatonfüred-Csopaki,cool_night_index,14,13.149023,12.521193027496338,12.989312648773193,13.886202526092529,0.5794131
