borvidek,index,n_members,mean,p10,p50,p90,std
Badacsonyi,cool_night_index,14,12.444293,11.293336200714112,12.41670846939087,13.578274440765382,0.848357
Badacsonyi,extreme_heat_days_t38,14,0.41428572,0.15000000596046448,0.32500000298023224,0.7400000154972078,0.3284161
Badacsonyi,growing_season_precip,14,483.062,441.70714111328124,490.5464782714844,515.8280090332031,43.025894
Badacsonyi,hargreaves_pet,14,782.2577,768.4563842773438,782.2991333007812,797.0371520996093,14.533186
Badacsonyi,heat_days_t35,14,2.9357142,1.325,2.950000047683716,4.994999933242799,1.4866623
Badacsonyi,huglin_index,14,2124.2502,2016.4229614257813,2125.021484375,2239.20146484375,101.41419
Badacsonyi,last_spring_frost_doy,14,81.73572,74.4749984741211,82.375,88.7900001525879,6.409651
Badacsonyi,p_minus_pet,14,-299.19565,-351.1433441162109,-290.6384582519531,-258.6263397216797,51.006775
Badacsonyi,spring_frost_days,14,8.189286,6.505000066757202,8.075000286102295,10.17000026702881,1.6581013
Badacsonyi,winkler_gdd,14,1653.0573,1543.8808471679688,1638.199951171875,1783.441015625,110.00469
Balatonboglári,cool_night_index,14,12.725436,11.59970703125,12.72252368927002,13.821929264068604,0.8200216
Balatonboglári,extreme_heat_days_t38,14,0.9607143,0.41500000059604647,0.9749999940395355,1.5850000143051153,0.5092145
Balatonboglári,growing_season_precip,14,464.15964,416.8906311035156,474.5823669433594,504.45693359375,38.838993
Balatonboglári,hargreaves_pet,14,837.8481,823.6844909667968,837.898193359375,853.7312316894531,13.712788
Balatonboglári,heat_days_t35,14,6.2357144,3.4799999952316285,6.299999952316284,9.335000324249268,2.3792717
Balatonboglári,huglin_index,14,2334.9036,2228.15771484375,2330.535888671875,2452.90146484375,95.149086
Balatonboglári,last_spring_frost_doy,14,76.78929,70.28500061035156,78.375,81.06000061035157,7.4945927
Balatonboglári,p_minus_pet,14,-373.68848,-430.5008605957031,-369.2582092285156,-325.29261474609376,47.727673
Balatonboglári,spring_frost_days,14,6.3821425,4.79500002861023,6.3500001430511475,8.849999618530275,1.9494187
Balatonboglári,winkler_gdd,14,1829.8783,1718.1416015625,1808.3671264648438,1963.5877929687501,105.497086
Balatonfelvidéki,cool_night_index,14,12.8039875,11.677024269104004,12.755250930786133,13.919524860382081,0.81638
Balatonfelvidéki,extreme_heat_days_t38,14,0.55,0.25,0.42499999701976776,1.0049999594688417,0.35787836
Balatonfelvidéki,growing_season_precip,14,481.95535,447.4153167724609,488.194580078125,510.36484985351564,40.146637
Balatonfelvidéki,hargreaves_pet,14,789.5004,776.1832824707031,789.0386047363281,804.0487060546875,13.670714
Balatonfelvidéki,heat_days_t35,14,3.8857143,2.215000033378601,4.025000095367432,6.199999904632569,1.6058102
Balatonfelvidéki,huglin_index,14,2195.819,2083.06162109375,2187.2646484375,2307.4107666015625,95.73686
Balatonfelvidéki,last_spring_frost_doy,14,77.15,69.06999893188477,77.95000076293945,81.48499908447266,6.8999166
Balatonfelvidéki,p_minus_pet,14,-307.5451,-349.0506164550781,-296.6813507080078,-274.34211120605465,48.299473
Balatonfelvidéki,spring_frost_days,14,6.4392858,4.8750001907348635,6.275000095367432,8.789999675750733,1.8594021
Balatonfelvidéki,winkler_gdd,14,1727.1271,1611.221044921875,1703.6533813476562,1854.3404663085937,105.33712
Balatonfüred-Csopaki,cool_night_index,14,13.158856,12.03249282836914,13.13200855255127,14.275756072998048,0.85629714
Balatonfüred-Csopaki,extreme_heat_days_t38,14,0.925,0.34500000476837156,0.9000000059604645,1.6400000333786013,0.50488
Balatonfüred-Csopaki,growing_season_precip,14,422.55002,378.86424255371094,434.46234130859375,449.5548156738281,38.95258
Balatonfüred-Csopaki,hargreaves_pet,14,811.7394,797.106494140625,814.2226257324219,828.5432556152343,16.245167
Balatonfüred-Csopaki,heat_days_t35,14,5.767857,3.0049999475479128,5.924999952316284,9.3,2.535563
Balatonfüred-Csopaki,huglin_index,14,2338.636,2221.0856201171873,2352.1375732421875,2459.70556640625,109.10651
Balatonfüred-Csopaki,last_spring_frost_doy,14,71.45714,62.53999977111816,72.75,77.97999954223633,7.6635966
Balatonfüred-Csopaki,p_minus_pet,14,-389.1893,-445.72763977050784,-380.6245880126953,-340.3722259521484,48.706436
