borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.09706427,0.0,0.0,0.31824341416358953,0.177052
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Assyrtiko,14,0.55616707,0.13828637823462486,0.5091542154550552,1.0,0.36442286
Badacsonyi,Bianca,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Bronner,14,0.83860093,0.6306587040424347,0.875,1.0,0.1761673
Badacsonyi,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet sauvignon,14,0.87227106,0.75,0.8727272748947144,1.0,0.13216476
Badacsonyi,Carignan,14,0.0727982,0.0,0.0,0.23868255317211154,0.132789
Badacsonyi,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cirfandli,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Ezerjó,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Fiano,14,0.79969555,0.5132863640785217,0.875,1.0,0.23096415
Badacsonyi,Furmint,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Garnacha,14,0.0727982,0.0,0.0,0.23868255317211154,0.132789
Badacsonyi,Generosa,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Hárslevelű,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Irsai Olivér,14,0.86892563,0.75,0.875,1.0,0.13776398
Badacsonyi,Johanniter,14,0.86892563,0.75,0.875,1.0,0.13776398
Badacsonyi,Juhfark,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Kabar,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Kadarka,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Kövérszőlő,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Leányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Merlot,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,0.86892563,0.75,0.875,1.0,0.13776398
Badacsonyi,Muscat ottonel,14,0.86979336,0.75,0.875,1.0,0.136412
Badacsonyi,Müller-Thurgau,14,0.86892563,0.75,0.875,1.0,0.13776398
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Pinot blanc,14,0.86979336,0.75,0.875,1.0,0.136412
Badacsonyi,Pinot noir,14,0.86979336,0.75,0.875,1.0,0.136412
Badacsonyi,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Rajnai rizling,14,0.86979336,0.75,0.875,1.0,0.136412
Badacsonyi,Rizlingszilváni,14,0.86892563,0.75,0.875,1.0,0.13776398
Badacsonyi,Sangiovese,14,0.8725958,0.75,0.875,1.0,0.13249582
Badacsonyi,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Solaris,14,0.83860093,0.6306587040424347,0.875,1.0,0.1761673
Badacsonyi,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Syrah,14,0.87227106,0.75,0.8727272748947144,1.0,0.13216476
Badacsonyi,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Sárgamuskotály,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Tempranillo,14,0.4516439,0.09219092056155205,0.3394361287355423,0.9849100708961487,0.35975745
Badacsonyi,Touriga Nacional,14,0.22488399,0.0,0.04776947200298309,0.6515767574310303,0.31026286
Badacsonyi,Tramini,14,0.86979336,0.75,0.875,1.0,0.136412
Badacsonyi,Verdejo,14,0.8725958,0.75,0.875,1.0,0.13249582
Badacsonyi,Vermentino,14,0.8725958,0.75,0.875,1.0,0.13249582
Badacsonyi,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Zéta,14,0.99967533,1.0,1.0,1.0,0.0012148226
Badacsonyi,Zöld veltelíni,14,0.86979336,0.75,0.875,1.0,0.136412
Balatonboglári,Aglianico,14,0.5185504,0.15803890228271483,0.43160197138786316,0.9899479925632477,0.31727678
Balatonboglári,Albariño,14,0.9952381,1.0,1.0,1.0,0.017817415
Balatonboglári,Arany sárfehér,14,0.9226143,0.742891651391983,1.0,1.0,0.12810099
Balatonboglári,Assyrtiko,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Bianca,14,0.9226143,0.742891651391983,1.0,1.0,0.12810099
Balatonboglári,Bronner,14,0.5045892,0.24359309822320938,0.5881492495536804,0.6907353937625885,0.20255437
Balatonboglári,Budai zöld,14,0.8845353,0.6389797925949097,1.0,1.0,0.19886819
Balatonboglári,Cabernet Cortis,14,0.91939163,0.742891651391983,1.0,1.0,0.13513619
Balatonboglári,Cabernet franc,14,0.9285714,0.75,1.0,1.0,0.117201805
Balatonboglári,Cabernet sauvignon,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Carignan,14,0.45728818,0.11852917671203614,0.3237014710903168,0.9899479925632477,0.34364924
