variety,mean,p10,p50,p90,std
Aletta,0.9442954,0.8572954356670379,0.9714074730873108,0.9989794254302978,0.08199358
Cabernet franc,0.9419122,0.8440505266189575,0.9707647264003754,0.9989705204963684,0.08269245
Albariño,0.9388073,0.8123889267444611,0.978327602148056,0.9994649112224578,0.095616765
Zengő,0.9231029,0.7716852247714996,0.9686411321163177,0.9992475807666779,0.110699564
Zweigelt,0.92036724,0.8423996269702911,0.9532916843891144,0.998016631603241,0.10968099
Kékfrankos,0.92036724,0.8423996269702911,0.9532916843891144,0.998016631603241,0.10968099
Blauburger,0.91564953,0.7583213329315186,0.9600310325622559,0.9982216119766235,0.11401408
Bianca,0.9100562,0.8404011130332947,0.9282742440700531,0.994638854265213,0.08564696
Cabernet Cortis,0.9071364,0.7685207486152649,0.9445827603340149,0.9978261530399323,0.11331625
Portugieser,0.9071364,0.7685207486152649,0.9445827603340149,0.9978261530399323,0.11331625
Olaszrizling,0.9071364,0.7685207486152649,0.9445827603340149,0.9978261530399323,0.11331625
Turán,0.8994935,0.7318161249160766,0.934738278388977,0.9970663845539093,0.11640059
Chardonnay,0.89855504,0.7655331313610078,0.9282742440700531,0.994638854265213,0.11087241
Kövidinka,0.89095473,0.6706797540187835,0.9525415897369385,0.9986412286758423,0.14734773
Furmint,0.88987803,0.6706797540187835,0.9525415897369385,0.9986412286758423,0.14800034
Gamay,0.8886867,0.6628002643585205,0.9525415897369385,0.9986412286758423,0.14887637
Sémillon,0.8886867,0.6628002643585205,0.9525415897369385,0.9986412286758423,0.14887637
Zeus,0.88521457,0.6939271688461304,0.9216300547122955,0.9960620164871216,0.12690552
Nektár,0.88521457,0.6939271688461304,0.9216300547122955,0.9960620164871216,0.12690552
Zefír,0.88521457,0.6939271688461304,0.9216300547122955,0.9960620164871216,0.12690552
Vulcanus,0.88521457,0.6939271688461304,0.9216300547122955,0.9960620164871216,0.12690552
Auxerrois,0.88521457,0.6939271688461304,0.9216300547122955,0.9960620164871216,0.12690552
Kunleány,0.88437116,0.6537828862667083,0.9472911953926086,0.9982216119766235,0.15030703
Zenit,0.88144577,0.6665608823299408,0.9365574717521667,0.9974151611328125,0.14733297
Kadarka,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Merlot,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Kövérszőlő,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Zéta,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Kabar,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Hárslevelű,0.8794436,0.6643292367458343,0.9365574717521667,0.9974151611328125,0.14940524
Verdejo,0.87492853,0.6496042430400848,0.9567514955997467,0.9984191834926606,0.15199095
Vermentino,0.87492853,0.6496042430400848,0.9567514955997467,0.9984191834926606,0.15199095
Sangiovese,0.87492853,0.6496042430400848,0.9567514955997467,0.9984191834926606,0.15199095
Juhfark,0.8646047,0.5909962832927704,0.9365574717521667,0.9974151611328125,0.16577388
Sárgamuskotály,0.86226803,0.593757462501526,0.9378315806388855,0.9986711025238038,0.16663317
Generosa,0.8592724,0.7259988188743591,0.8814817070960999,0.9750426828861237,0.12225877
Cserszegi fűszeres,0.8592724,0.7259988188743591,0.8814817070960999,0.9750426828861237,0.12225877
Zalagyöngye,0.85799843,0.7084090709686279,0.8817643821239471,0.9808957636356354,0.11702497
Arany sárfehér,0.85349697,0.6147550761699676,0.8966609239578247,0.9915639102458954,0.14891703
Kéknyelű,0.84573704,0.5786706924438476,0.9013799726963043,0.9943936109542847,0.16381991
Budai zöld,0.84539586,0.6113166332244874,0.891825944185257,0.990558385848999,0.17121123
Királyleányka,0.84539586,0.6113166332244874,0.891825944185257,0.990558385848999,0.17121123
Leányka,0.84539586,0.6113166332244874,0.891825944185257,0.990558385848999,0.17121123
Sauvignon blanc,0.83647376,0.6039376020431518,0.8814817070960999,0.9750426828861237,0.1670847
Szürkebarát,0.83647376,0.6039376020431518,0.8814817070960999,0.9750426828861237,0.1670847
Souvignier Gris,0.83647376,0.6039376020431518,0.8814817070960999,0.9750426828861237,0.1670847
Fiano,0.83537155,0.5978920817375183,0.9035973250865936,0.9856211245059967,0.16471489
Rózsakő,0.8348025,0.6193556964397431,0.8749316930770874,0.9811118900775909,0.14639795
Syrah,0.8267585,0.5166222870349885,0.9292283058166504,0.9972649276256561,0.1988425
Mészikadar,0.82461005,0.5103685021400451,0.9287834763526917,0.9975072920322419,0.20019104
Cabernet sauvignon,0.8234099,0.5166222870349885,0.9268083870410919,0.9972649276256561,0.19955996
Menoire,0.82220894,0.5103685021400451,0.9281436502933502,0.9975072920322419,0.20003405
Cirfandli,0.8181836,0.522483104467392,0.8949643671512604,0.9915639102458954,0.19517238
Ezerjó,0.8054297,0.5621529996395112,0.8553838729858398,0.9678281426429749,0.16425733
Bíborkadarka,0.78849494,0.4533223330974579,0.8814916610717773,0.985063087940216,0.20732585
Alibernet,0.7812315,0.45160297155380247,0.8746315240859985,0.971263724565506,0.20394556
Chasselas,0.76980597,0.5436813175678253,0.8267779052257538,0.9163932621479035,0.14979848
Malbec,0.7483074,0.3714442074298859,0.8610913157463074,0.9788355708122254,0.23356928
Tannat,0.741102,0.37107677161693575,0.8555354177951813,0.9644712150096894,0.23001428
Assyrtiko,0.7171322,0.30941708087921144,0.8507502675056458,0.936859005689621,0.24950711
Sagrantino,0.6769814,0.265656316280365,0.8121590614318848,0.9177087247371674,0.2599222
Zöld veltelíni,0.65689003,0.3952276408672333,0.6390962898731232,0.9396548986434937,0.20466855
Pinot blanc,0.65689003,0.3952276408672333,0.6390962898731232,0.9396548986434937,0.20466855
Tempranillo,0.6249968,0.20821161866188054,0.694986492395401,0.8920815944671631,0.26734543
Rajnai rizling,0.6186386,0.2460095122456551,0.6385617554187775,0.9396548986434937,0.25048694
Pinot noir,0.6186386,0.2460095122456551,0.6385617554187775,0.9396548986434937,0.25048694
Tramini,0.6186386,0.2460095122456551,0.6385617554187775,0.9396548986434937,0.25048694
Muscat ottonel,0.6186386,0.2460095122456551,0.6385617554187775,0.9396548986434937,0.25048694
Müller-Thurgau,0.6151928,0.2350149914622307,0.6385617554187775,0.9396548986434937,0.25355643
Irsai Olivér,0.6151928,0.2350149914622307,0.6385617554187775,0.9396548986434937,0.25355643
Rizlingszilváni,0.6151928,0.2350149914622307,0.6385617554187775,0.9396548986434937,0.25355643
Johanniter,0.6102623,0.2350149914622307,0.6382807195186615,0.920819240808487,0.24836554
Muscaris,0.6102623,0.2350149914622307,0.6382807195186615,0.920819240808487,0.24836554
Bronner,0.54728097,0.18379321098327636,0.5509839355945587,0.8638589441776275,0.24842413
Solaris,0.54728097,0.18379321098327636,0.5509839355945587,0.8638589441776275,0.24842413
Touriga Nacional,0.45423904,0.050935526192188274,0.46194350719451904,0.8512332737445831,0.29034957
Aglianico,0.26496524,0.0,0.19571063667535782,0.7072896242141725,0.26910493
Garnacha,0.20208597,0.0,0.14678297191858292,0.5304672062397005,0.21129325
Carignan,0.20208597,0.0,0.14678297191858292,0.5304672062397005,0.21129325
Mourvèdre,0.0,0.0,0.0,0.0,0.0
Nero d'Avola,0.0,0.0,0.0,0.0,0.0
