borvidek,variety,n_members,mean,p10,p50,p90,std
Badacsonyi,Aglianico,14,0.03880941,0.0,0.0,0.13067154958844196,0.08448155
Badacsonyi,Albariño,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Arany sárfehér,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Assyrtiko,14,0.54243296,0.06158610358834267,0.46883057057857513,1.0,0.40668267
Badacsonyi,Bianca,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Bronner,14,0.8783036,0.700998193025589,1.0,1.0,0.14820656
Badacsonyi,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cabernet sauvignon,14,0.84066784,0.75,0.75,1.0,0.15519467
Badacsonyi,Carignan,14,0.029107055,0.0,0.0,0.09800366163253792,0.06336117
Badacsonyi,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cirfandli,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Ezerjó,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Fiano,14,0.74062616,0.4365860939025879,0.7495646774768829,1.0,0.27538514
Badacsonyi,Furmint,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Garnacha,14,0.029107055,0.0,0.0,0.09800366163253792,0.06336117
Badacsonyi,Generosa,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Hárslevelű,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Irsai Olivér,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Johanniter,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Juhfark,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kabar,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kadarka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kéknyelű,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Kövérszőlő,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Leányka,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Merlot,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Muscaris,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Muscat ottonel,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Müller-Thurgau,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Badacsonyi,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Pinot blanc,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Pinot noir,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Rajnai rizling,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Rizlingszilváni,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Sangiovese,14,0.84066784,0.75,0.75,1.0,0.15519467
Badacsonyi,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Solaris,14,0.8783036,0.700998193025589,1.0,1.0,0.14820656
Badacsonyi,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Syrah,14,0.84066784,0.75,0.75,1.0,0.15519467
Badacsonyi,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Sárgamuskotály,14,0.9958905,1.0,1.0,1.0,0.015376332
Badacsonyi,Tempranillo,14,0.4004314,0.04105740366503596,0.3125537112355232,0.7973382174968721,0.32579547
Badacsonyi,Touriga Nacional,14,0.18141161,0.0,0.0628439337015152,0.4640048861503602,0.21845482
Badacsonyi,Tramini,14,0.89285713,0.75,1.0,1.0,0.12838815
Badacsonyi,Verdejo,14,0.84066784,0.75,0.75,1.0,0.15519467
Badacsonyi,Vermentino,14,0.84066784,0.75,0.75,1.0,0.15519467
Badacsonyi,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Zéta,14,1.0,1.0,1.0,1.0,0.0
Badacsonyi,Zöld veltelíni,14,0.89285713,0.75,1.0,1.0,0.12838815
Balatonboglári,Aglianico,14,0.45482972,0.0938590481877327,0.4351196438074112,0.843004858493805,0.3085038
Balatonboglári,Albariño,14,1.0,1.0,1.0,1.0,0.0
Balatonboglári,Arany sárfehér,14,0.96428573,0.825,1.0,1.0,0.09078413
Balatonboglári,Assyrtiko,14,0.99227273,1.0,1.0,1.0,0.028912954
Balatonboglári,Bianca,14,0.96428573,0.825,1.0,1.0,0.09078413
Balatonboglári,Bronner,14,0.54248977,0.30821053981781005,0.5868301391601562,0.7148028433322907,0.1737838
