year,borvidek,winkler_gdd,huglin_index,spring_frost_days,last_spring_frost_doy,heat_days_t35,extreme_heat_days_t38,growing_season_precip,hargreaves_pet,p_minus_pet,cool_night_index,borregio
1971,Badacsonyi,1233.9412679672241,1746.6393019595052,18.0,119.0,0.0,0.0,311.0499267578125,755.3752153096328,-444.32528855182034,8.081417083740234,Balaton
1971,Balatonboglári,1370.3101091384888,1936.0539022005478,17.0,105.0,1.0,0.0,318.02789306640625,805.6432838873639,-487.6153908209576,8.127945899963379,Balaton
1971,Balatonfelvidéki,1289.765809059143,1807.928184517763,17.0,105.0,0.0,0.0,292.6226806640625,763.4848082613886,-470.8621275973261,8.422679901123047,Balaton
1971,Balatonfüred-Csopaki,1423.7191801071167,1948.550011268715,16.0,105.0,1.0,0.0,294.81805419921875,777.0438641170879,-482.2258099178691,8.866975784301758,Balaton
1971,Bükki,1213.533076286316,1738.3555214461157,19.0,105.0,0.0,0.0,321.8356628417969,738.1866450706653,-416.3509822288685,8.270356178283691,Felső-Magyarországi
1971,Csongrádi,1486.8926210403442,2083.915265736431,19.0,106.0,1.0,0.0,261.07806396484375,841.3910426487278,-580.312978683884,8.53842830657959,Duna
1971,Egri,1280.6038417816162,1842.0342720209414,19.0,119.0,0.0,0.0,291.60931396484375,775.4657725090186,-483.85645854417487,8.211788177490234,Felső-Magyarországi
1971,Etyek-Budai,1372.304328918457,1918.3724061864,17.0,105.0,0.0,0.0,273.6822509765625,788.5951976854941,-514.9129467089316,8.56058406829834,Felső-Pannon
1971,Hajós-Bajai,1451.4929466247559,2065.086323320397,19.0,106.0,1.0,0.0,242.58920288085938,854.931647010958,-612.3424441300987,8.105584144592285,Duna
1971,Kunsági,1441.3837432861328,2034.1210762193173,18.0,105.0,1.0,0.0,268.7628173828125,830.3923886842599,-561.6295713014474,8.500391960144043,Duna
1971,Mátrai,1244.8337154388428,1815.6001148381465,21.0,119.0,0.0,0.0,306.9245300292969,787.3384680291138,-480.4139379998169,8.038756370544434,Felső-Magyarországi
1971,Móri,1217.3314981460571,1723.6289157845335,19.0,119.0,0.0,0.0,269.43634033203125,749.4706904681597,-480.0343501361284,8.237736701965332,Felső-Pannon
1971,Nagy-Somlói,1302.1172800064087,1877.0663580568728,19.0,119.0,1.0,0.0,254.8928680419922,803.9756419653964,-549.0827739234043,8.158058166503906,Balaton
1971,Neszmélyi,1238.0918312072754,1802.6327674671686,19.0,119.0,0.0,0.0,288.0675354003906,785.6271864409097,-497.55965104051904,7.6569437980651855,Felső-Pannon
1971,Pannonhalmi,1314.6565437316895,1884.7423429986911,20.0,119.0,1.0,0.0,270.6784973144531,797.7345070005267,-527.0560096860736,8.075532913208008,Felső-Pannon
1971,Pécsi,1419.016209602356,1949.9736929485678,17.0,105.0,1.0,0.0,246.28871154785156,807.3534210217196,-561.064709473868,8.6553316116333,Pannon
1971,Soproni,1285.6329545974731,1830.804024167313,19.0,119.0,1.0,0.0,307.6766357421875,779.0813207258748,-471.4046849836873,8.583078384399414,Felső-Pannon
1971,Szekszárdi,1465.5378007888794,2075.2373835868493,19.0,106.0,1.0,0.0,243.68209838867188,852.5581683479589,-608.8760699592871,8.218973159790039,Pannon
1971,Tokaji,1316.2400922775269,1857.2041260603487,17.0,86.0,0.0,0.0,304.7122802734375,749.5247116081057,-444.8124313346682,8.84272289276123,Tokaj
1971,Tolnai,1423.0791292190552,2001.4971230957606,17.0,105.0,1.0,0.0,265.8238830566406,823.8829951498277,-558.0591120931871,8.2232084274292,Pannon
1971,Villányi,1441.723448753357,1995.854580166759,18.0,105.0,1.0,0.0,270.1300048828125,825.310148888376,-555.1801440055635,8.759000778198242,Pannon
1971,Zalai,1272.6455430984497,1842.9337284022197,18.0,119.0,0.0,0.0,304.5079650878906,800.449064581882,-495.9410994939914,7.653196811676025,Balaton
1972,Badacsonyi,1074.1246547698975,1534.4711332137679,7.0,121.0,0.0,0.0,569.2157592773438,672.7899262882163,-103.57416701087254,8.222655296325684,Balaton
1972,Balatonboglári,1243.2979612350464,1747.390013615309,6.0,86.0,0.0,0.0,558.794189453125,724.2303397583363,-165.4361503052113,8.656122207641602,Balaton
1972,Balatonfelvidéki,1132.8230781555176,1596.4644547088499,6.0,121.0,0.0,0.0,573.2017211914062,678.2255582755423,-105.02383708413606,8.557866096496582,Balaton
1972,Balatonfüred-Csopaki,1276.8798303604126,1756.1260063079212,4.0,76.0,0.0,0.0,510.5545654296875,699.5497757002083,-188.99521027052083,9.089630126953125,Balaton
1972,Bükki,1182.1126375198364,1673.966419197817,13.0,122.0,0.0,0.0,469.4450378417969,694.6356846772101,-225.1906468354132,8.22156810760498,Felső-Magyarországi
1972,Csongrádi,1457.5448055267334,2028.0274120887627,10.0,87.0,0.0,0.0,502.7325439453125,800.2918385833407,-297.5592946380282,8.776043891906738,Duna
1972,Egri,1231.3031091690063,1763.3199824110413,9.0,87.0,0.0,0.0,470.30023193359375,732.1316367984358,-261.83140486484206,8.170778274536133,Felső-Magyarországi
1972,Etyek-Budai,1238.174482345581,1762.1683590713083,6.0,87.0,0.0,0.0,451.5730285644531,728.8857374433579,-277.3127088789048,8.471207618713379,Felső-Pannon
1972,Hajós-Bajai,1339.835970878601,1924.6263719454425,9.0,87.0,0.0,0.0,574.795166015625,800.1093113129726,-225.31414529734764,8.164528846740723,Duna
1972,Kunsági,1370.0945987701416,1941.8307259856251,9.0,87.0,0.0,0.0,478.6489562988281,784.1713600595406,-305.52240376071245,8.481585502624512,Duna
1972,Mátrai,1172.106216430664,1714.0913313842648,15.0,122.0,0.0,0.0,505.14996337890625,735.6450587819832,-230.4950954030769,8.00146770477295,Felső-Magyarországi
1972,Móri,1063.4913492202759,1545.5891784715861,7.0,121.0,0.0,0.0,496.43511962890625,683.4654948695784,-187.03037524067213,8.106887817382812,Felső-Pannon
1972,Nagy-Somlói,1141.7152128219604,1662.730590239367,8.0,121.0,0.0,0.0,579.465087890625,720.5979662900073,-141.13287839938232,8.052769660949707,Balaton
1972,Neszmélyi,1103.554467201233,1630.3049303860182,8.0,121.0,0.0,0.0,530.86572265625,717.4667816605363,-186.6010590042863,7.517278671264648,Felső-Pannon
1972,Pannonhalmi,1153.1405687332153,1679.4863658341162,9.0,121.0,0.0,0.0,496.0997619628906,720.8708154782748,-224.7710535153842,7.882809638977051,Felső-Pannon
1972,Pécsi,1245.0071067810059,1756.5193739829795,7.0,86.0,0.0,0.0,685.62890625,741.8179864930572,-56.18908024305722,8.800023078918457,Pannon
1972,Soproni,1120.5291185379028,1618.1332123483896,7.0,121.0,0.0,0.0,573.0331420898438,695.4200336862815,-122.38689159643775,8.179510116577148,Felső-Pannon
1972,Szekszárdi,1343.8921527862549,1918.955859166544,9.0,87.0,0.0,0.0,635.7594604492188,791.5944610910152,-155.83500064179646,8.352517127990723,Pannon
1972,Tokaji,1313.1063890457153,1822.568463203523,11.0,87.0,0.0,0.0,456.1781311035156,715.2460165080332,-259.0678854045176,8.602140426635742,Tokaj
1972,Tolnai,1289.571961402893,1832.80332025388,8.0,87.0,0.0,0.0,604.0091552734375,759.016927329636,-155.00777205619852,8.407021522521973,Pannon
1972,Villányi,1285.7650995254517,1811.5434660054373,8.0,87.0,0.0,0.0,675.02001953125,757.9014445185649,-82.88142498731486,9.055777549743652,Pannon
1972,Zalai,1159.4559259414673,1656.016982257518,7.0,121.0,0.0,0.0,631.5595092773438,710.885846206045,-79.32633692870127,8.234601020812988,Balaton
1973,Badacsonyi,1217.4014797210693,1682.4894996422945,16.0,104.0,0.0,0.0,394.9216613769531,714.3664903842786,-319.44482900732544,10.67063045501709,Balaton
1973,Balatonboglári,1378.1624240875244,1882.1009358799433,11.0,77.0,0.0,0.0,417.0876159667969,764.7422152427264,-347.6545992759295,10.85218334197998,Balaton
1973,Balatonfelvidéki,1277.2487592697144,1747.1140738661406,12.0,77.0,0.0,0.0,443.0049133300781,722.168807806021,-279.1638944759429,11.009116172790527,Balaton
1973,Balatonfüred-Csopaki,1409.3372344970703,1890.1283933817595,8.0,77.0,0.0,0.0,334.60101318359375,744.0901416407128,-409.489128457119,11.339653968811035,Balaton
1973,Bükki,1227.6348810195923,1728.2579149891683,25.0,109.0,0.0,0.0,392.7652587890625,732.9508980814796,-340.18563929241714,11.004312515258789,Felső-Magyarországi
1973,Csongrádi,1539.1539220809937,2088.3378179422407,18.0,82.0,0.0,0.0,310.5304260253906,826.5065701545824,-515.9761441291918,11.68586540222168,Duna
1973,Egri,1294.3571062088013,1826.0602146360466,23.0,109.0,0.0,0.0,333.8275451660156,768.0165616783141,-434.1890165122985,11.134547233581543,Felső-Magyarországi
1973,Etyek-Budai,1382.9547567367554,1896.0879571518299,16.0,109.0,0.0,0.0,312.1830139160156,771.8247135514864,-459.6416996354708,11.179738998413086,Felső-Pannon
1973,Hajós-Bajai,1474.7696723937988,2040.3608299012055,18.0,83.0,0.0,0.0,329.16778564453125,836.2971559026587,-507.12937025812744,10.825156211853027,Duna
1973,Kunsági,1463.195065498352,2022.637289605723,19.0,109.0,0.0,0.0,306.8307189941406,819.226685553969,-512.3959665598284,11.236207008361816,Duna
1973,Mátrai,1276.130084991455,1812.3336360846106,24.0,113.0,0.0,0.0,345.15350341796875,773.7374447162067,-428.58394129823796,10.97927188873291,Felső-Magyarországi
1973,Móri,1218.165880203247,1695.7715953574914,20.0,109.0,0.0,0.0,343.2641906738281,727.8815650798015,-384.61737440597335,10.890935897827148,Felső-Pannon
1973,Nagy-Somlói,1288.6895236968994,1823.201887078542,15.0,82.0,0.0,0.0,447.09478759765625,770.5656714973718,-323.47088389971555,10.636061668395996,Balaton
1973,Neszmélyi,1242.9280443191528,1774.7192279481849,18.0,113.0,0.0,0.0,371.4339904785156,767.2836033818223,-395.8496129033067,10.471908569335938,Felső-Pannon
1973,Pannonhalmi,1287.0249309539795,1827.161063185123,14.0,82.0,0.0,0.0,407.6808776855469,772.1832294391268,-364.5023517535799,10.619603157043457,Felső-Pannon
1973,Pécsi,1412.1562271118164,1897.3035243862023,16.0,111.0,0.0,0.0,316.6976318359375,778.1327167572061,-461.43508492126864,11.67914867401123,Pannon
1973,Soproni,1272.0315380096436,1794.687047608787,14.0,113.0,0.0,0.0,411.3300476074219,750.0660870665281,-338.7360394591062,10.84616470336914,Felső-Pannon
1973,Szekszárdi,1477.013168334961,2037.451647171785,19.0,109.0,0.0,0.0,281.6404113769531,829.5107928865737,-547.8703815096205,10.83179759979248,Pannon
1973,Tokaji,1339.8282852172852,1853.5537255069705,23.0,109.0,0.0,0.0,341.8195495605469,748.5413676027725,-406.72181804222566,11.288494110107422,Tokaj
1973,Tolnai,1416.799030303955,1952.311555499261,17.0,109.0,0.0,0.0,339.1351013183594,799.8874748759091,-460.75237355754973,10.731987953186035,Pannon
1973,Villányi,1450.6801261901855,1950.9118934762676,16.0,111.0,0.0,0.0,299.683349609375,795.4542049276458,-495.77085531827083,11.859556198120117,Pannon
1973,Zalai,1291.5903806686401,1798.9016871238023,15.0,96.0,0.0,0.0,498.6078796386719,754.8547107168611,-256.2468310781892,10.596391677856445,Balaton
1974,Badacsonyi,1074.8086948394775,1555.7637571632115,15.0,110.0,0.0,0.0,583.09912109375,678.2728761893766,-95.17375509562657,10.732019424438477,Balaton
1974,Balatonboglári,1218.1595821380615,1760.207771521681,9.0,94.0,0.0,0.0,633.2149047851562,730.6443578951817,-97.4294531100254,11.172568321228027,Balaton
1974,Balatonfelvidéki,1128.6178398132324,1621.3689355334593,9.0,94.0,0.0,0.0,595.59814453125,686.2722641497863,-90.67411961853634,11.048848152160645,Balaton
1974,Balatonfüred-Csopaki,1245.6626424789429,1755.5328216329917,6.0,73.0,0.0,0.0,611.224609375,702.2632995891371,-91.03869021413709,11.280478477478027,Balaton
1974,Bükki,1077.1225605010986,1577.0384752141683,17.0,112.0,0.0,0.0,650.9189453125,673.2555111396134,-22.336565827113418,10.728610038757324,Felső-Magyarországi
1974,Csongrádi,1331.467441558838,1918.19991483657,10.0,94.0,0.0,0.0,573.0636596679688,773.8799930828957,-200.81633341492693,11.355493545532227,Duna
1974,Egri,1127.1410493850708,1677.2739942978455,14.0,112.0,0.0,0.0,619.5335693359375,716.4028696200504,-96.86930028411291,10.70083236694336,Felső-Magyarországi
1974,Etyek-Budai,1195.5355396270752,1738.6491300584744,9.0,105.0,0.0,0.0,501.0291748046875,722.4835678486452,-221.45439304395768,10.837238311767578,Felső-Pannon
1974,Hajós-Bajai,1279.065016746521,1885.0452997888724,13.0,110.0,1.0,0.0,562.9967041015625,786.6503051583185,-223.65360105675597,10.84938907623291,Duna
1974,Kunsági,1267.7029495239258,1856.7244248253662,8.0,73.0,0.0,0.0,532.467529296875,764.967329005568,-232.499799708693,10.897003173828125,Duna
1974,Mátrai,1096.2122735977173,1656.2869870501843,14.0,112.0,0.0,0.0,546.8378295898438,725.1849291402829,-178.3470995504391,10.310623168945312,Felső-Magyarországi
1974,Móri,1053.2898378372192,1540.3764368643645,15.0,110.0,0.0,0.0,559.8982543945312,679.5162151458379,-119.61796075130667,10.55509090423584,Felső-Pannon
1974,Nagy-Somlói,1137.9068908691406,1690.4004889018297,11.0,110.0,0.0,0.0,556.39111328125,729.8748049632464,-173.48369168199645,10.626280784606934,Balaton
1974,Neszmélyi,1079.965636253357,1624.4024854903985,16.0,110.0,0.0,0.0,515.5146484375,717.5815760726933,-202.06692763519334,10.205900192260742,Felső-Pannon
