borvidek,horizon_label,period,scenario,emissions_level,rank,variety,variety_en,colour,future_suitability,delta_vs_1991_2020,confidence,limiting_factor,status,huglin_mean,winkler_mean
Egri,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.605,high,huglin,expand,2421.0,1860.0
Egri,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.605,high,huglin,new,2421.0,1860.0
Egri,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2754.0,2245.0
Egri,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2754.0,2245.0
Egri,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2754.0,2245.0
Egri,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Assyrtiko,Assyrtiko,white,1.0,0.957,medium,huglin,new,2754.0,2245.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp45,moderate,1,Sangiovese,Sangiovese,red,1.0,0.25,high,huglin,new,2300.0,1723.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp45,moderate,2,Touriga Nacional,Touriga Nacional,red,0.941,0.629,medium,frost,new,2300.0,1723.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp45,moderate,3,Aglianico,Aglianico,red,0.941,0.629,medium,frost,new,2300.0,1723.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp45,moderate,4,Cabernet sauvignon,Cabernet Sauvignon,red,0.941,0.341,high,frost,new,2300.0,1723.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp85,high,1,Touriga Nacional,Touriga Nacional,red,1.0,0.688,medium,huglin,new,2243.0,1685.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp85,high,2,Aglianico,Aglianico,red,1.0,0.688,medium,huglin,new,2243.0,1685.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp85,high,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.4,high,huglin,new,2243.0,1685.0
Etyek-Budai,Near term (2021–2040),2021-2040,rcp85,high,4,Syrah,Syrah,red,1.0,0.4,high,huglin,new,2243.0,1685.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.688,medium,huglin,new,2374.0,1823.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.688,medium,huglin,new,2374.0,1823.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.4,high,huglin,new,2374.0,1823.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.4,high,huglin,new,2374.0,1823.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.4,high,huglin,new,2191.0,1704.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Syrah,Syrah,red,1.0,0.4,high,huglin,new,2191.0,1704.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Touriga Nacional,Touriga Nacional,red,0.953,0.641,medium,huglin,new,2191.0,1704.0
Etyek-Budai,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Aglianico,Aglianico,red,0.953,0.641,medium,huglin,new,2191.0,1704.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.688,medium,huglin,new,2430.0,1897.0
